celltype	category
A07.231.908.Veins	Cardiovascular
A07.231.Blood.Vessels	Cardiovascular
A07.541.358.100.Atrial.Appendage	Cardiovascular
A07.541.358.Heart.Atria	Cardiovascular
A07.541.510.110.Aortic.Valve	Cardiovascular
A07.541.560.Heart.Ventricles	Cardiovascular
A07.541.Heart	Cardiovascular
Artery_Aorta	Cardiovascular
Artery_Coronary	Cardiovascular
Artery_Tibial	Cardiovascular
Heart_Atrial_Appendage	Cardiovascular
Heart_Left_Ventricle	Cardiovascular
A08.186.211.132.810.428.200.Cerebellum	CNS
A08.186.211.132.Brain.Stem	CNS
A08.186.211.464.405.Hippocampus	CNS
A08.186.211.464.710.225.Entorhinal.Cortex	CNS
A08.186.211.464.Limbic.System	CNS
A08.186.211.653.Mesencephalon	CNS
A08.186.211.730.317.357.352.435.Hypothalamo.Hypophyseal.System	CNS
A08.186.211.730.317.357.Hypothalamus	CNS
A08.186.211.730.317.Diencephalon	CNS
A08.186.211.730.885.287.249.487.Corpus.Striatum	CNS
A08.186.211.730.885.287.249.Basal.Ganglia	CNS
A08.186.211.730.885.287.500.270.Frontal.Lobe	CNS
A08.186.211.730.885.287.500.571.735.Visual.Cortex	CNS
A08.186.211.730.885.287.500.670.Parietal.Lobe	CNS
A08.186.211.730.885.287.500.Cerebral.Cortex	CNS
A08.186.211.865.428.Metencephalon	CNS
A08.186.211.Brain	CNS
A09.371.729.Retina	CNS
A11.872.653.Neural.Stem.Cells	CNS
Brain_Amygdala	CNS
Brain_Anterior_cingulate_cortex_(BA24)	CNS
Brain_Caudate_(basal_ganglia)	CNS
Brain_Cerebellar_Hemisphere	CNS
Brain_Cerebellum	CNS
Brain_Cortex	CNS
Brain_Frontal_Cortex_(BA9)	CNS
Brain_Hippocampus	CNS
Brain_Hypothalamus	CNS
Brain_Nucleus_accumbens_(basal_ganglia)	CNS
Brain_Putamen_(basal_ganglia)	CNS
Brain_Spinal_cord_(cervical_c-1)	CNS
Brain_Substantia_nigra	CNS
A03.556.124.369.Intestinal.Mucosa	Digestive
A03.556.124.526.767.Rectum	Digestive
A03.556.124.684.Intestine..Small	Digestive
A03.556.124.Intestines	Digestive
A03.556.249.124.Ileum	Digestive
A03.556.249.249.209.Cecum	Digestive
A03.556.249.249.356.668.Colon..Sigmoid	Digestive
A03.556.249.249.356.Colon	Digestive
A03.556.500.760.464.Parotid.Gland	Digestive
A03.556.500.760.Salivary.Glands	Digestive
A03.556.875.500.Esophagus	Digestive
A03.556.875.875.Stomach	Digestive
A03.556.875.Upper.Gastrointestinal.Tract	Digestive
A03.556.Gastrointestinal.Tract	Digestive
Colon_Sigmoid	Digestive
Colon_Transverse	Digestive
Esophagus_Gastroesophageal_Junction	Digestive
Esophagus_Mucosa	Digestive
Esophagus_Muscularis	Digestive
Small_Intestine_Terminal_Ileum	Digestive
Stomach	Digestive
A03.620.Liver	Liver
A11.436.348.Hepatocytes	Liver
Liver	Liver
A02.165.Cartilage	Musculoskeletal/Connective
A02.633.567.850.Quadriceps.Muscle	Musculoskeletal/Connective
A02.835.232.834.151.Cervical.Vertebrae	Musculoskeletal/Connective
A02.835.583.443.800.Synovial.Membrane	Musculoskeletal/Connective
A05.360.319.679.690.Myometrium	Musculoskeletal/Connective
A10.165.450.300.425.Keloid	Musculoskeletal/Connective
A10.165.450.300.Cicatrix	Musculoskeletal/Connective
A10.690.467.Muscle..Smooth	Musculoskeletal/Connective
A10.690.Muscles	Musculoskeletal/Connective
A11.329.171.Chondrocytes	Musculoskeletal/Connective
A11.329.228.Fibroblasts	Musculoskeletal/Connective
A11.329.629.Osteoblasts	Musculoskeletal/Connective
A11.329.830.Stromal.Cells	Musculoskeletal/Connective
A11.329.Connective.Tissue.Cells	Musculoskeletal/Connective
A11.620.520.Myocytes..Smooth.Muscle	Musculoskeletal/Connective
Cells_Transformed_fibroblasts	Musculoskeletal/Connective
Muscle_Skeletal	Musculoskeletal/Connective
A04.411.Lung	Other
A04.531.520.Nasal.Mucosa	Other
A05.360.319.114.373.Fallopian.Tubes	Other
A05.360.319.114.630.Ovary	Other
A05.360.319.679.256.Cervix.Uteri	Other
A05.360.319.679.490.Endometrium	Other
A05.360.319.679.Uterus	Other
A05.360.319.887.Vulva	Other
A05.360.319.Genitalia..Female	Other
A05.360.444.492.362.Foreskin	Other
A05.360.444.Genitalia..Male	Other
A05.360.490.Germ.Cells	Other
A05.360.Genitalia	Other
A05.810.453.324.Kidney.Cortex	Other
A05.810.453.Kidney	Other
A05.810.890.Urinary.Bladder	Other
A06.407.071.140.Adrenal.Cortex	Other
A06.407.071.Adrenal.Glands	Other
A06.407.312.782.Testis	Other
A06.407.312.Gonads	Other
A06.407.900.Thyroid.Gland	Other
A06.407.Endocrine.Glands	Other
A09.371.Eye	Other
A10.272.497.Epidermis	Other
A10.272.Epithelium	Other
A10.336.707.Prostate	Other
A10.615.284.473.Chorion	Other
A10.615.550.599.Mouth.Mucosa	Other
A10.615.550.Mucous.Membrane	Other
A10.615.789.Serous.Membrane	Other
A10.615.Membranes	Other
A11.382.Endocrine.Cells	Other
A11.436.275.Endothelial.Cells	Other
A11.436.294.064.Glucagon.Secreting.Cells	Other
A11.436.329.Granulosa.Cells	Other
A11.436.397.Keratinocytes	Other
A11.436.Epithelial.Cells	Other
A11.497.497.600.Oocytes	Other
A11.872.040.Adult.Stem.Cells	Other
A11.872.190.260.Embryoid.Bodies	Other
A11.872.190.Embryonic.Stem.Cells	Other
A11.872.580.Mesenchymal.Stem.Cells	Other
A11.872.700.500.Induced.Pluripotent.Stem.Cells	Other
A11.872.Stem.Cells	Other
A14.549.167.646.Periodontium	Other
A14.549.167.Dentition	Other
A14.549.885.Tongue	Other
A14.549.Mouth	Other
A14.724.557.Nasopharynx	Other
A14.724.Pharynx	Other
A17.815.Skin	Other
Adrenal_Gland	Other
Bladder	Other
Breast_Mammary_Tissue	Other
Cervix_Ectocervix	Other
Cervix_Endocervix	Other
Fallopian_Tube	Other
Kidney_Cortex	Other
Lung	Other
Minor_Salivary_Gland	Other
Nerve_Tibial	Other
Ovary	Other
Pituitary	Other
Prostate	Other
Skin_Not_Sun_Exposed_(Suprapubic)	Other
Skin_Sun_Exposed_(Lower_leg)	Other
Testis	Other
Thyroid	Other
Uterus	Other
Vagina	Other
A03.734.414.Islets.of.Langerhans	Pancreas
A03.734.Pancreas	Pancreas
Pancreas	Pancreas
