varName	description	ntotal	top_rhoAbs	top_pvalue	top_fdr	NA	gap_gm_beta	gap_gm_se	gap_gm_rho	gap_gm_pvalue	gap_gm_fdr	NA.1	gap_wm_beta	gap_wm_se	gap_wm_rho	gap_wm_pvalue	gap_wm_fdr	NA.2	gap_gwm_beta	gap_gwm_se	gap_gwm_rho	gap_gwm_pvalue	gap_gwm_fdr	NA.3	n	varType	resType	custom_category	Path
12336	Ventricular rate	13488	0.0864295833620043	7.14774261988907e-24	8.18506596387878e-21		0.0241108921295005	0.0024110388374781	0.0856439598314726	1.81927107703913e-23	8.18506596387878e-21		0.0212721418168953	0.00243097668698691	0.0750374940113378	2.35841778481149e-18	5.83590480851603e-15		0.0255903990153178	0.00253546609611106	0.0864295833620043	7.14774261988907e-24	1.26215174756525e-20		13488	INTEGER	LINEAR	Physical measures	UK Biobank Assessment Centre > Physical measures > ECG at rest, 12-lead
20015	Sitting height	15484	0.0765036714113198	1.33406016832289e-21	5.50188647752499e-19		-0.0206895574021245	0.00216405326242199	-0.0765036714113198	1.33406016832289e-21	5.50188647752499e-19		-0.0160413370961427	0.00217854476632664	-0.0590268680638543	1.87602858313698e-13	1.15135202612713e-10		-0.0210249657610031	0.00227539599603812	-0.0739610292282728	2.75732098407051e-20	2.27433025836083e-17		15484	CONTINUOUS	LINEAR	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures
20159	Number of symbol digit matches made correctly	7877	0.102796800937931	4.69107467578696e-20	2.90201607130871e-17		-0.0253057682680842	0.00285836417324836	-0.0990403124439133	1.02470767785414e-18	3.38085219846676e-16		-0.0227980041711339	0.00285701204529537	-0.0893911585002426	1.65807692011971e-15	2.05145566941811e-12		-0.0274908693942333	0.00298998044827193	-0.102796800937931	4.69107467578696e-20	2.90201607130871e-17		7877	INTEGER	LINEAR	Cognitive function	Online follow-up > Cognitive function online > Symbol digit substitution
1458	Cereal intake	14980	0.0740158214161172	1.05317713591266e-19	4.00936434279366e-17		-0.0392232080800594	0.00408945105261757	-0.0740158214161172	1.05317713591266e-19	4.00936434279366e-17		-0.028871539468793	0.00418244047757077	-0.0541164799259192	3.29500067560895e-11	9.59232843740512e-09		-0.0389149995474448	0.00436958037351397	-0.0698182321061409	1.07531770411245e-17	3.54783154510168e-15		14980	INTEGER	ORDERED-LOGISTIC	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet
20195	Number of symbol digit matches attempted	7877	0.0996423928439875	6.30010700185047e-19	2.83447541383254e-16		-0.0249709973148146	0.0028358023320996	-0.0985154203545462	1.5620984751859e-18	4.29490297427501e-16		-0.0214725443410514	0.00283544193378092	-0.0848850359513036	4.0280325660942e-14	3.3224555282667e-11		-0.0264313315569278	0.00296719039921672	-0.0996423928439875	6.30010700185047e-19	2.83447541383254e-16		7877	INTEGER	LINEAR	Cognitive function	Online follow-up > Cognitive function online > Symbol digit substitution
4080	Systolic blood pressure, automated reading	14680	0.0727389286106051	9.92681903613667e-19	3.38085219846676e-16		0.0199794607766601	0.00225830137674823	0.0727389286106051	9.92681903613667e-19	3.38085219846676e-16		0.0155498480764361	0.002272668288225	0.0563441220628548	8.08070856950382e-12	2.66609511403163e-09		0.020380307087774	0.00237394252024901	0.0706002344077252	9.92482493915954e-18	3.5084256159929e-15		14680	INTEGER	LINEAR	Physical measures	UK Biobank Assessment Centre > Physical measures > Blood pressure
20403	Amount of alcohol drunk on a typical drinking day	10030	0.0877275983625986	1.15450467675831e-18	3.57102727829805e-16		0.0457550948957775	0.00492222933773814	0.0877275983625986	1.15450467675831e-18	3.57102727829805e-16		0.0296157726645009	0.00497925334271466	0.0569066417197219	1.14395299194222e-08	2.05666779978185e-06		0.0428650637029797	0.00524225592091837	0.0783399031139126	3.57103421091219e-15	7.68393404774105e-13		10030	CAT-SIN	ORDERED-LOGISTIC	Mental health	Online follow-up > Mental health > Alcohol use
3063	Forced expiratory volume in 1-second (FEV1)	14398	0.0731170614845146	1.4130888757324e-18	4.11375108588215e-16		-0.018933189855106	0.00214963672065314	-0.0731170614845146	1.4130888757324e-18	4.11375108588215e-16		-0.0111741416676799	0.00216856988837382	-0.0428892855781542	2.59462129430706e-07	3.05732875845849e-05		-0.0169172742233263	0.00226283194279311	-0.0621334039521239	8.0558346661267e-14	1.42386877723789e-11		14398	CONTINUOUS	LINEAR	Physical measures	UK Biobank Assessment Centre > Physical measures > Spirometry
51	Seated height	15484	0.0702978520735797	1.80866319731733e-18	4.71109166501235e-16		-0.0190978167960178	0.00217540290981225	-0.0702978520735797	1.80866319731733e-18	4.71109166501235e-16		-0.0135765351444461	0.00219007558318016	-0.0497320297632906	5.80419829307421e-10	1.51184091328549e-07		-0.0185726706296341	0.00228770800643083	-0.0650436550559971	5.04780273921829e-16	1.24907878781957e-13		15484	CONTINUOUS	LINEAR	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures
20405-0	Ever had known person concerned about, or recommend reduction of, alcohol consumption	10502	0.0847283750911354	2.9487418680601e-18	7.29666175251472e-16		-999	-999	-0.0847283750911354	2.9487418680601e-18	7.29666175251472e-16		-999	-999	-0.0540992370735517	2.82982137702732e-08	4.37649562340881e-06		-999	-999	-0.0751091844966132	1.17981526704917e-14	2.33556230265054e-12		9180/10502	CAT-SIN	MULTINOMIAL-LOGISTIC	Mental health	Online follow-up > Mental health > Alcohol use
20230	Duration to entering value	7890	0.0963025676342073	8.47309549572198e-18	3.2256422775637e-15		0.0239207584604072	0.00282868160901742	0.0945861061036416	3.21596260354102e-17	6.91991257605413e-15		0.0208007585348983	0.00282836345003589	0.0823931717722075	2.09379030817219e-13	1.15135202612713e-10		0.0254906979345609	0.00295986710977198	0.0963025676342073	8.47309549572198e-18	3.2256422775637e-15		7890	INTEGER	LINEAR	Cognitive function	Online follow-up > Cognitive function online > Symbol digit substitution
20416	Frequency of consuming six or more units of alcohol	10031	0.0849067597763229	1.41623791101106e-17	3.3376006769494e-15		0.0439421683423491	0.00488131748989196	0.0849067597763229	1.41623791101106e-17	3.3376006769494e-15		0.026673395226939	0.00496282638695297	0.0514924168764954	2.42306286695425e-07	2.96072815725292e-05		0.0405350368090623	0.00521231614101176	0.0745687246293779	6.96513493614205e-14	1.27668343699878e-11		10031	CAT-SIN	ORDERED-LOGISTIC	Mental health	Online follow-up > Mental health > Alcohol use
1558	Alcohol intake frequency.	15548	0.0682441397787502	1.47862561774284e-17	4.57357386388082e-15		-0.0310964183990778	0.0038136274790434	-0.0608827019362514	2.84501928466631e-14	3.70526327363515e-12		-0.0317676803500171	0.00389964958322822	-0.0618605427712375	1.09425028816336e-14	1.08308893522409e-11		-0.0366863216176639	0.00408339369472378	-0.0682441397787502	1.47862561774284e-17	4.57357386388082e-15		15548	CAT-SIN	ORDERED-LOGISTIC	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol
20150	Forced expiratory volume in 1-second (FEV1), Best measure	12547	0.0755582389438233	2.11818394783189e-17	4.76495107173638e-15		-0.0195358022585662	0.00229868847109822	-0.0755582389438233	2.11818394783189e-17	4.76495107173638e-15		-0.0112483678605307	0.00232620511925167	-0.0431154641714078	1.34072893694566e-06	0.000135413622631512		-0.0172931126749109	0.00242343239890464	-0.0635216864122591	1.01019990550746e-12	1.5149937370777e-10		12547	CONTINUOUS	LINEAR	Physical measures	UK Biobank Assessment Centre > Physical measures > Spirometry
20151	Forced vital capacity (FVC), Best measure	12547	0.0742980977357538	7.13447834405161e-17	1.47118888852964e-14		-0.0195882660440887	0.00234428816357929	-0.0742980977357538	7.13447834405161e-17	1.47118888852964e-14		-0.0121987550843734	0.00237183419877994	-0.0458504142730668	2.73487219607002e-07	3.14764709263966e-05		-0.0177555260940329	0.00247120144160823	-0.0639568374629605	7.06623665027723e-13	1.1280904897491e-10		12547	CONTINUOUS	LINEAR	Physical measures	UK Biobank Assessment Centre > Physical measures > Spirometry
135	Number of self-reported non-cancer illnesses	15535	0.0663900105132238	1.10818806196217e-16	2.19376908746031e-14		0.0337859735451971	0.00382768861876015	0.0663900105132238	1.10818806196217e-16	2.19376908746031e-14		0.0211655720452191	0.00391225906806016	0.0413767838348509	2.45281581021155e-07	2.96072815725292e-05		0.0303844179030913	0.00409467955813514	0.0568074674371849	1.32714958663634e-12	1.93178332478331e-10		15535	INTEGER	ORDERED-LOGISTIC	Medical history and conditions	UK Biobank Assessment Centre > Verbal interview > Medical conditions
20155	Interval between previous point and current one in alphanumeric path (trail #2)	7435	0.0949247093808389	2.01742814280972e-16	5.54680659931406e-14		0.0238277664186414	0.00302442584278038	0.0908262354865297	3.74831201261254e-15	5.79699879700608e-13		0.0219214894695288	0.00303320416148249	0.0833998703098543	5.37580542878987e-13	2.41862373337101e-10		0.0261392299335365	0.00317273204813531	0.0949247093808389	2.01742814280972e-16	5.54680659931406e-14		7435	INTEGER	LINEAR	Cognitive function	Online follow-up > Cognitive function online > Trail making
3062	Forced vital capacity (FVC)	14398	0.0675829208081961	4.38574326505933e-16	8.34809362260716e-14		-0.0178405878719058	0.00219274247141276	-0.0675829208081961	4.38574326505933e-16	8.34809362260716e-14		-0.0103269874122731	0.00221154942591792	-0.0388769497251051	3.03975687934529e-06	0.000263509085538927		-0.0156326111000034	0.00230810046832595	-0.0563182774123694	1.30578093995988e-11	1.70060786101617e-09		14398	CONTINUOUS	LINEAR	Physical measures	UK Biobank Assessment Centre > Physical measures > Spirometry
23119	Arm fat percentage (right)	15385	0.0653305002504867	4.65519205944305e-16	8.53279463043839e-14		0.0183561881706861	0.00225828432299798	0.0653305002504867	4.65519205944305e-16	8.53279463043839e-14		0.00735813194197669	0.00227617884873764	0.0260523309289243	0.00122788860023494	0.0471071370741296		0.0135518487348498	0.00237699998536568	0.0458974679169805	1.20804630497098e-08	1.1033110513992e-06		15385	CONTINUOUS	LINEAR	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures
12144	Height	15549	0.0647046983511641	6.22579845994572e-16	1.10040987779541e-13		-0.0175302380269525	0.00216614587624408	-0.0647046983511641	6.22579845994572e-16	1.10040987779541e-13		-0.0125918090804141	0.00218034588485712	-0.0462454017893571	7.81482609200841e-09	1.48752208959037e-06		-0.0171008470205782	0.00227755152838803	-0.0600585680634673	6.2802627365008e-14	1.19542385703625e-11		15549	INTEGER	LINEAR	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures
20157	Duration to complete alphanumeric path (trail #2)	7125	0.0957659508457793	4.67101029003579e-16	1.2166752592309e-13		0.0242871111843392	0.00309225795645307	0.0924750232780863	4.56753277016947e-15	6.84991505441476e-13		0.0217047089870029	0.00309707093617089	0.0826219186665395	2.614325559026e-12	1.07819143263497e-09		0.0263706991991499	0.00324063769069286	0.0957659508457793	4.67101029003579e-16	1.2166752592309e-13		7125	CONTINUOUS	LINEAR	Cognitive function	Online follow-up > Cognitive function online > Trail making
22334	PP interval	8627	0.0853590059965555	1.77110504408532e-15	3.02248236661319e-13		-0.0240259249735029	0.00301448941714388	-0.0853590059965555	1.77110504408532e-15	3.02248236661319e-13		-0.0203681191706354	0.00305846931692535	-0.0714409058719775	2.89577094099722e-11	8.95698149187203e-09		-0.0248550117797059	0.00317873712520335	-0.0837589829738434	5.89375795510043e-15	1.21534200499133e-12		8627	INTEGER	LINEAR	Physical measures	UK Biobank Assessment Centre > Physical measures > ECG at rest, 12-lead
22333	RR interval	8627	0.0849129859917874	2.48193033485344e-15	4.31910809922904e-13		-0.0238822358697446	0.00301491686650786	-0.0848421351320717	2.61817019553185e-15	4.31910809922904e-13		-0.0211124283729068	0.00305818222495688	-0.0740373748420793	5.39257942221322e-12	2.0529135046564e-09		-0.02520113021344	0.00317873185880877	-0.0849129859917874	2.48193033485344e-15	5.84908248913794e-13		8627	INTEGER	LINEAR	Physical measures	UK Biobank Assessment Centre > Physical measures > ECG at rest, 12-lead
50	Standing height	15543	0.0630855405363444	3.2695278349211e-15	5.21964298549178e-13		-0.0170943854391744	0.00216725984738218	-0.0630855405363444	3.2695278349211e-15	5.21964298549178e-13		-0.0118174340546444	0.00218174489417627	-0.0433902819064373	6.15338700722124e-08	8.23057089155079e-06		-0.0164114300839329	0.00227898420529741	-0.057624644956446	6.2164123673839e-13	1.02550082687276e-10		15543	CONTINUOUS	LINEAR	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures
1249	Past tobacco smoking	14862	0.0644208383409419	3.56490557020448e-15	7.68393404774105e-13		-0.0330720609730862	0.00402004865958198	-0.0634533008569367	9.14032119041413e-15	1.33045439915763e-12		-0.0276904210740275	0.00411760759365409	-0.0527445667403636	1.20573066032023e-10	3.31508946551379e-08		-0.0353580509387316	0.00430212937487527	-0.0644208383409419	3.56490557020448e-15	7.68393404774105e-13		14862	CAT-SIN	ORDERED-LOGISTIC	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking
20162	Pack years adult smoking as proportion of life span exposed to smoking	4224	0.118305064380171	9.82780671865968e-15	1.38965187001848e-12		0.0334540159912723	0.00430704160120647	0.118305064380171	9.82780671865968e-15	1.38965187001848e-12		0.0213296437208751	0.00423715392205468	0.0771439465165942	4.96764588523427e-07	5.46330655244987e-05		0.030603313018198	0.00447259412206062	0.104463732391572	8.78802960232305e-12	1.20810995838602e-09		4224	CONTINUOUS	LINEAR	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking
20408	Frequency of memory loss due to drinking alcohol in last year	7434	0.0886278217637376	1.71052431775705e-14	2.35149579127212e-12		0.0760484296800938	0.00558650072377975	0.0886278217637376	1.71052431775705e-14	2.35149579127212e-12		0.0476642353207372	0.00699972124406543	0.0553320342476499	1.77540115019308e-06	0.000165782269666143		0.070363490389915	0.00641469392030314	0.0778323929103887	1.69344957511331e-11	2.09522048680894e-09		7434	CAT-SIN	ORDERED-LOGISTIC	Mental health	Online follow-up > Mental health > Alcohol use
20161	Pack years of smoking	4224	0.11693356810145	2.00250438406848e-14	2.67848491804187e-12		0.0329520113721214	0.00429322905435985	0.11693356810145	2.00250438406848e-14	2.67848491804187e-12		0.0209507776389599	0.00422322801610697	0.076033328123585	7.24218395641313e-07	7.79164530441056e-05		0.0301368847727043	0.00445809638850557	0.103226333980255	1.5477271760862e-11	1.96402610114118e-09		4224	CONTINUOUS	LINEAR	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking
22332	QTC interval	8627	0.0809823762964799	4.49906122743633e-14	5.70919333707241e-12		0.0225030650936044	0.00297764992241912	0.0809823762964799	4.49906122743633e-14	5.70919333707241e-12		0.0172047835660641	0.00302206018206801	0.0611355909648489	1.28268015418938e-08	2.18896002864939e-06		0.0220065500515385	0.00314091203849978	0.0751309384810045	2.6103019037162e-12	3.69096689185471e-10		8627	INTEGER	LINEAR	Physical measures	UK Biobank Assessment Centre > Physical measures > ECG at rest, 12-lead
22506-114	Tobacco smoking	8630	0.0796308152102015	1.16914220339542e-13	1.44652119115098e-11		-999	-999	-0.0796308152102015	1.16914220339542e-13	1.44652119115098e-11		-999	-999	-0.0518719211183519	1.40197341747824e-06	0.000138767328861996		-999	-999	-0.0726931716809772	1.28636355030881e-11	1.70060786101617e-09		5004/8630	CAT-SIN	MULTINOMIAL-LOGISTIC	Work environment	Online follow-up > Work environment > Medical information
20003#1140874744	Treatment/medication code: gliclazide	15549	0.0588117086826879	2.04522416444201e-13	2.46873521703012e-11		0.221465295277561	0.0301628766843337	0.0588117086826879	2.04522416444201e-13	2.46873521703012e-11		0.173188959769081	0.0290388294570968	0.0477905916752781	2.43570766828555e-09	5.24100750015008e-07		0.22273807626617	0.0307791273503065	0.0579656950197996	4.49422779226489e-13	7.66963218755825e-11		15460/89(15549)	CAT-MUL	LOGISTIC-BINARY	Medications	UK Biobank Assessment Centre > Verbal interview > Medications
21001	Body mass index (BMI)	15539	0.0587968483218426	2.11084565817922e-13	2.48727980055451e-11		0.0165729886247147	0.00225559526265489	0.0587968483218426	2.11084565817922e-13	2.48727980055451e-11		0.00512216069257829	0.00227190802119837	0.018084194356588	0.0241635771645967	0.342560141710228		0.0111859018294116	0.00237363504549576	0.0377689729472339	2.46299155257099e-06	0.00013695893476038		15539	CONTINUOUS	LINEAR	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures
1239	Current tobacco smoking	15544	0.0585679184109671	2.59161317598637e-13	2.98276595533873e-11		0.0655893209610934	0.0081430464261913	0.0585679184109671	2.59161317598637e-13	2.98276595533873e-11		0.0388817189794748	0.00859042738763117	0.0342910880519851	1.89002381464757e-05	0.00139607878487923		0.0598540290970929	0.00881495917116411	0.05066278061454	2.54669080407296e-10	2.80079395319046e-08		15544	CAT-SIN	ORDERED-LOGISTIC	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking
23123	Arm fat percentage (left)	15383	0.0586433616575692	3.20485567022673e-13	3.60473425271638e-11		0.0165190312213767	0.00226557045887391	0.0586433616575692	3.20485567022673e-13	3.60473425271638e-11		0.00626080583094385	0.00228271402737386	0.0221082461492531	0.00609662950056294	0.161348766835754		0.0119360733276074	0.00238418835184701	0.04032046746084	5.59721690609007e-07	3.46257830852997e-05		15383	CONTINUOUS	LINEAR	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures
23104	Body mass index (BMI)	15390	0.0583152704946691	4.28480819551053e-13	4.71233683546258e-11		0.0164439718194162	0.00226751428308114	0.0583152704946691	4.28480819551053e-13	4.71233683546258e-11		0.00508306730110737	0.00228401117910683	0.0179373723753018	0.0260503740819315	0.355726670450644		0.0110777531131278	0.00238600525860542	0.0373904285368794	3.45943233435024e-06	0.000186094898072819		15390	CONTINUOUS	LINEAR	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures
6177#1	Medication for cholesterol, blood pressure or diabetes: Cholesterol lowering medication	15417	0.0580269395697834	5.32957088205944e-13	5.73392310767656e-11		0.0455930115871882	0.00631836493176399	0.0580269395697834	5.32957088205944e-13	5.73392310767656e-11		0.0190405139357959	0.00623212805074034	0.0246025797420408	0.00224677164497384	0.0766846404894864		0.0344890825102396	0.00655305410349936	0.0423561811683216	1.41302563201924e-07	1.01348751490771e-05		12883/2534(15417)	CAT-MUL	LOGISTIC-BINARY	Medical history and conditions	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medication
2188	Long-standing illness, disability or infirmity	15337	0.0579324486055856	6.66639659869189e-13	7.01957378019706e-11		0.037646181960619	0.00523908527391538	0.0579324486055856	6.66639659869189e-13	7.01957378019706e-11		0.0244190380174961	0.0052350258982011	0.0376434325963897	3.08820508410947e-06	0.000263509085538927		0.0344618952934628	0.00548180612763659	0.0507041657738373	3.23627491214105e-10	3.48180968264914e-08		11369/3968(15337)	CAT-SIN	LOGISTIC-BINARY	Medical history and conditions	UK Biobank Assessment Centre > Touchscreen > Health and medical history > General health
6160#2	Leisure/social activities: Pub or social club	15533	0.057099906891251	1.02122696484388e-12	1.05292755187758e-10		0.0342783102109057	0.00480952731291786	0.057099906891251	1.02122696484388e-12	1.05292755187758e-10		0.0164549741436745	0.00482571306129516	0.027352777997531	0.000649454949817957	0.0292195686059006		0.0282525782004697	0.005047993296202	0.0448672776383773	2.17903245922814e-08	1.85931580012415e-06		10239/5294(15533)	CAT-MUL	LOGISTIC-BINARY	Mental health	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Social support
6373	Number of puzzles correctly solved	10150	0.0702748625842554	1.27637597464217e-12	1.28913973438859e-10		-0.0349433971533765	0.00464313837103091	-0.0702748625842554	1.27637597464217e-12	1.28913973438859e-10		-0.0267658343845785	0.00471581728234189	-0.0538236595859734	5.637929251176e-08	7.75058662890834e-06		-0.0346555033263024	0.00494505611994889	-0.0665484491291969	1.832219453308e-11	2.2116229449808e-09		10150	INTEGER	ORDERED-LOGISTIC	Cognitive function	UK Biobank Assessment Centre > Cognitive function > Matrix pattern completion
102	Pulse rate, automated reading	14680	0.0588545887325018	9.14622696204375e-13	1.41452116359858e-10		0.0148419959330954	0.00232858246982241	0.052504426115845	1.89220547471843e-10	1.61457325765198e-08		0.0160320241718249	0.00234039514367317	0.0564098912190695	7.64141593863358e-12	2.66609511403163e-09		0.0174893845250387	0.00244657237637552	0.0588545887325018	9.14622696204375e-13	1.41452116359858e-10		14680	INTEGER	LINEAR	Physical measures	UK Biobank Assessment Centre > Physical measures > Blood pressure
20003#1140879802	Treatment/medication code: amlodipine	15549	0.054747966016968	8.10684054748543e-12	8.02415077390108e-10		0.0835992434221906	0.0122295082226467	0.054747966016968	8.10684054748543e-12	8.02415077390108e-10		0.0246350808503967	0.012009386366677	0.0164507717337645	0.0402197372002097	0.450397824086584		0.0570197301904039	0.0126290901540442	0.0361901138311298	6.31923739638677e-06	0.000315898039138567		14994/555(15549)	CAT-MUL	LOGISTIC-BINARY	Medications	UK Biobank Assessment Centre > Verbal interview > Medications
2178	Overall health rating	15533	0.0546930405876151	8.71618314484578e-12	8.4581157615376e-10		0.0307760049652671	0.00422869568025872	0.0546930405876151	8.71618314484578e-12	8.4581157615376e-10		0.0179491680195677	0.00430486952498581	0.0318028710079052	7.32764056347295e-05	0.00477164383534574		0.0271668720454311	0.00451891040999902	0.0459800077885721	9.67938678078618e-09	9.21217022655977e-07		15533	CAT-SIN	ORDERED-LOGISTIC	Medical history and conditions	UK Biobank Assessment Centre > Touchscreen > Health and medical history > General health
20409	Frequency of feeling guilt or remorse after drinking alcohol in last year	7438	0.0784516937402785	1.15300644718583e-11	1.09735171290821e-09		0.0600584197142087	0.00588611289585102	0.0784516937402785	1.15300644718583e-11	1.09735171290821e-09		0.0487965486102636	0.00641944219221633	0.0634857922341801	4.12095865131955e-08	5.99841893099425e-06		0.0624955641768496	0.0063602121364675	0.0773816999533817	2.18841582486066e-11	2.57868331362748e-09		7438	CAT-SIN	ORDERED-LOGISTIC	Mental health	Online follow-up > Mental health > Alcohol use
