p2	top_rgAbs	top_p	top_FDR	NA	gap_gm_rg	gap_gm_se	gap_gm_z	gap_gm_p	gap_gm_FDR	NA.1	gap_wm_rg	gap_wm_se	gap_wm_z	gap_wm_p	gap_wm_FDR	NA.2	gap_gwm_rg	gap_gwm_se	gap_gwm_z	gap_gwm_p	gap_gwm_FDR	NA.3	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se
04_risk_karlssonlinner_2019	0.0548	0.0847	0.123792307692308		0.0548	0.0318	1.7242	0.0847	0.123792307692308		-9e-04	0.0362	-0.0259	0.9794	0.9794		0.0267	0.0335	0.7956	0.4263	0.53998		0.0259	0.0012	1.006	0.0097	0.0022	0.0055
06_int_savage_2018	0.071	0.0726	0.13794		-0.0658	0.0421	-1.5616	0.1184	0.155144827586207		-0.0669	0.0386	-1.7332	0.0831	0.225557142857143		-0.071	0.0396	-1.7951	0.0726	0.13794		0.1961	0.0087	1.0326	0.0249	-0.0136	0.0125
08_sbp_evangelou_2018	0.0485	0.1023	0.143977777777778		0.0485	0.0297	1.6338	0.1023	0.143977777777778		-0.0069	0.0353	-0.1945	0.8457	0.918188571428571		0.0188	0.0331	0.5687	0.5696	0.65590303030303		0.1391	0.0058	1.0785	0.0343	0.0173	0.0075
03_ad_wightman_2021	0.1566	0.1154	0.155144827586207		0.1566	0.0995	1.5744	0.1154	0.155144827586207		0.1339	0.0969	1.3819	0.167	0.352555555555556		0.1535	0.1013	1.5146	0.1299	0.205675		0.0055	0.0042	1.0921	0.0841	0.0059	0.0055
01_adhd_demontis_2023	0.0593	0.1397	0.176953333333333		0.0593	0.0402	1.4768	0.1397	0.176953333333333		-0.0143	0.0377	-0.3786	0.705	0.825270588235294		0.0226	0.0382	0.59	0.5552	0.65590303030303		0.0945	0.0044	1.0298	0.0095	0.004	0.0059
05_sd_dashti_2019	0.0449	0.2353	0.288432258064516		-0.0449	0.0378	-1.1869	0.2353	0.288432258064516		-0.0179	0.0381	-0.4707	0.6379	0.808006666666667		-0.0319	0.0367	-0.8696	0.3845	0.503827586206896		0.0677	0.003	1.029	0.0101	0.0048	0.0058
03_epiGen_ilae_2022	0.0638	0.1804	0.290488888888889		0.046	0.0489	0.9396	0.3474	0.388270588235294		0.0638	0.0476	1.3396	0.1804	0.3608		0.0605	0.0478	1.2636	0.2064	0.290488888888889		0.6028	0.0498	1.0368	0.0137	-0.0105	0.0075
01_ptsd_nievergelt_2019	0.0757	0.3276	0.388270588235294		0.0757	0.0773	0.9789	0.3276	0.388270588235294		-0.0471	0.076	-0.6193	0.5357	0.701951724137931		0.0091	0.0747	0.1216	0.9032	0.9032		0.017	0.0029	1.0209	0.0064	0.0072	0.0048
03_epiFoc_ilae_2022	0.0958	0.3451	0.388270588235294		-0.0958	0.1015	-0.9441	0.3451	0.388270588235294		-0.0037	0.1082	-0.0339	0.9729	0.9794		-0.0504	0.105	-0.4802	0.6311	0.685194285714286		0.0675	0.0145	1.1058	0.0089	0.0034	0.0071
01_asd_grove_2019	0.0798	0.2156	0.40964		-0.0051	0.0596	-0.085	0.9323	0.9323		0.0798	0.0644	1.2384	0.2156	0.40964		0.0443	0.0627	0.7069	0.4796	0.587896774193548		0.2473	0.0214	1.0084	0.0096	0.0024	0.0062
01_an_watson_2019	0.0307	0.4996	0.542422857142857		0.0307	0.0455	0.6751	0.4996	0.542422857142857		-0.0191	0.0445	-0.4285	0.6683	0.819206451612903		0.0057	0.0431	0.1328	0.8944	0.9032		0.1787	0.012	1.0269	0.0112	0.0043	0.0066
06_mem_davies_2016	0.0435	0.5201	0.671258823529412		0.0174	0.0633	0.2746	0.7836	0.804778378378378		0.0435	0.0676	0.6431	0.5201	0.701951724137931		0.0331	0.0633	0.5235	0.6006	0.671258823529412		0.0424	0.0049	0.9999	0.0067	-5e-04	0.005
05_chron_jones_2019	0.0207	0.5334	0.701951724137931		-0.0112	0.0325	-0.3455	0.7298	0.770344444444444		0.0207	0.0333	0.6228	0.5334	0.701951724137931		0.0063	0.0328	0.1929	0.847	0.894055555555556		0.1104	0.0037	1.0487	0.0137	-0.0055	0.0065
