p2	top_rgAbs	top_p	top_FDR	NA	gap_gm_rg	gap_gm_se	gap_gm_z	gap_gm_p	gap_gm_FDR	NA.1	gap_wm_rg	gap_wm_se	gap_wm_z	gap_wm_p	gap_wm_FDR	NA.2	gap_gwm_rg	gap_gwm_se	gap_gwm_z	gap_gwm_p	gap_gwm_FDR	NA.3	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se
01_scz_trubetskoy_2022	0.0587	0.0626	0.117257142857143		0.0587	0.0315	1.8623	0.0626	0.117257142857143		0.0175	0.0298	0.5872	0.5571	0.729993103448276		0.0401	0.0308	1.3029	0.1926	0.292752		0.3632	0.0132	1.0786	0.0149	-0.0023	0.0077
04_lone_day_2018	0.0652	0.0648	0.117257142857143		0.0652	0.0353	1.8467	0.0648	0.117257142857143		0.0417	0.033	1.2633	0.2065	0.39235		0.0559	0.0336	1.6642	0.0961	0.18259		0.0419	0.002	0.9864	0.008	0.0053	0.0055
03_als_vanRheenen_2021	0.1118	0.0539	0.124408695652174		-0.105	0.059	-1.7786	0.0753	0.124408695652174		-0.1061	0.0568	-1.8679	0.0618	0.161975		-0.1118	0.058	-1.9274	0.0539	0.1280125		0.0652	0.0072	1.0287	0.0075	0.009	0.0057
05_ds_wang_2019	0.0596	0.0743	0.124408695652174		0.0596	0.0334	1.7849	0.0743	0.124408695652174		0.021	0.0319	0.659	0.5099	0.702185714285714		0.0404	0.0328	1.2304	0.2185	0.307518518518519		0.0483	0.0023	1.0197	0.0092	0.001	0.0052
08_cad_aragam_2022	0.055	0.0815	0.129041666666667		0.055	0.0316	1.7418	0.0815	0.129041666666667		0.0318	0.0304	1.0478	0.2947	0.509027272727273		0.0442	0.0311	1.4217	0.1551	0.245575		0.0333	0.0025	1.0073	0.021	0.0069	0.0058
03_ad_wightman_2021	0.1568	0.0641	0.153216		0.1454	0.0886	1.641	0.1008	0.153216		0.1552	0.0838	1.8516	0.0641	0.161975		0.1568	0.0881	1.7804	0.075	0.167647058823529		0.0055	0.0042	1.0923	0.0842	0.0091	0.006
05_sd_dashti_2019	0.0522	0.105	0.153461538461538		-0.0522	0.0322	-1.6211	0.105	0.153461538461538		-0.0355	0.0315	-1.1272	0.2597	0.469933333333333		-0.0446	0.0302	-1.4765	0.1398	0.230973913043478		0.0678	0.003	1.0289	0.0101	-6e-04	0.006
05_ins_jansen_2019	0.0685	0.0815	0.154251851851852		0.0627	0.0392	1.5999	0.1096	0.154251851851852		0.0648	0.038	1.7048	0.0882	0.197152941176471		0.0685	0.0393	1.7418	0.0815	0.172055555555556		0.0458	0.0021	1.0143	0.009	-0.0032	0.0062
01_an_watson_2019	0.0715	0.0636	0.161975		-0.0405	0.044	-0.9209	0.3571	0.399111764705882		-0.0715	0.0386	-1.8548	0.0636	0.161975		-0.0597	0.0398	-1.5008	0.1334	0.230418181818182		0.1786	0.012	1.0269	0.0112	0.0181	0.0076
01_adhd_demontis_2023	0.0532	0.1197	0.16245		0.0532	0.0342	1.5562	0.1197	0.16245		-0.0061	0.0298	-0.2043	0.8382	0.903555555555556		0.021	0.0305	0.69	0.4902	0.564472727272727		0.0945	0.0044	1.0298	0.0095	0.0059	0.0059
01_bip_mullins_2021	0.0439	0.1332	0.172646666666667		0.0439	0.0293	1.5016	0.1332	0.172646666666667		0.0284	0.0335	0.8479	0.3965	0.5795		0.0382	0.0308	1.2423	0.2141	0.307518518518519		0.0698	0.0031	1.0343	0.0117	0.0024	0.0068
02_cud_johnson_2020	0.0702	0.1363	0.172646666666667		0.0702	0.0471	1.4896	0.1363	0.172646666666667		-0.0012	0.0393	-0.0293	0.9767	0.9767		0.0337	0.0413	0.8155	0.4148	0.508464516129032		0.0188	0.0016	1.0006	0.0069	0.0026	0.0051
01_ptsd_nievergelt_2019	0.0777	0.2416	0.295018181818182		0.0777	0.0663	1.1711	0.2416	0.295018181818182		0.057	0.0652	0.8754	0.3814	0.5795		0.072	0.0641	1.1241	0.261	0.354214285714286		0.0171	0.0029	1.0207	0.0064	0.0064	0.0052
04_risk_karlssonlinner_2019	0.0322	0.2494	0.295018181818182		0.031	0.0269	1.1517	0.2494	0.295018181818182		-0.0322	0.0316	-1.0184	0.3085	0.509695652173913		-0.0047	0.0289	-0.1614	0.8718	0.920233333333333		0.0259	0.0012	1.0056	0.0097	0.0027	0.0054
01_mdd_howard_2019	0.0339	0.2562	0.295018181818182		0.0339	0.0298	1.1353	0.2562	0.295018181818182		0.0096	0.0282	0.3414	0.7328	0.87495		0.0226	0.0287	0.7864	0.4316	0.512525		0.0607	0.0025	0.9959	0.0104	0.0115	0.0064
05_chron_jones_2019	0.0288	0.3239	0.512841666666667		8e-04	0.028	0.027	0.9785	0.9785		0.0288	0.0292	0.9864	0.3239	0.512841666666667		0.0175	0.028	0.6251	0.5319	0.594476470588235		0.1104	0.0037	1.0488	0.0137	-0.0056	0.0066
06_mem_davies_2016	0.0366	0.5174	0.654902857142857		0.0105	0.0526	0.1994	0.842	0.885708108108108		0.0366	0.0565	0.6474	0.5174	0.702185714285714		0.0278	0.0534	0.5199	0.6032	0.654902857142857		0.0424	0.0049	0.9999	0.0067	-7e-04	0.0049
01_asd_grove_2019	0.0202	0.7368	0.87495		-0.0093	0.0536	-0.1733	0.8624	0.885708108108108		0.0202	0.0602	0.3361	0.7368	0.87495		0.0074	0.057	0.13	0.8965	0.92072972972973		0.2472	0.0213	1.0085	0.0096	0.0046	0.0066
03_epiFoc_ilae_2022	0.0216	0.8135	0.883228571428571		-0.0216	0.0915	-0.2359	0.8135	0.883228571428571		0.0125	0.0884	0.1417	0.8873	0.911281081081081		-0.0032	0.0885	-0.036	0.9713	0.9713		0.0676	0.0145	1.1058	0.0089	-0.0039	0.0076
