varName	description	top_deltaP	top_rhoAbs	top_pvalue	top_fdr	NA	a_gap_gm_beta	a_gap_gm_se	a_gap_gm_rho	a_gap_gm_pvalue	a_gap_gm_fdr	NA.1	b_gap_gm_beta	b_gap_gm_se	b_gap_gm_rho	b_gap_gm_pvalue	b_gap_gm_fdr	NA.2	gap_gm_deltaP	NA.3	a_gap_wm_beta	a_gap_wm_se	a_gap_wm_rho	a_gap_wm_pvalue	a_gap_wm_fdr	NA.4	b_gap_wm_beta	b_gap_wm_se	b_gap_wm_rho	b_gap_wm_pvalue	b_gap_wm_fdr	NA.5	gap_wm_deltaP	NA.6	a_gap_gwm_beta	a_gap_gwm_se	a_gap_gwm_rho	a_gap_gwm_pvalue	a_gap_gwm_fdr	NA.7	b_gap_gwm_beta	b_gap_gwm_se	b_gap_gwm_rho	b_gap_gwm_pvalue	b_gap_gwm_fdr	NA.8	gap_gwm_deltaP	NA.9	a_n	b_n	a_varType	a_resType	custom_category	Path
20159	Number of symbol digit matches made correctly	0.0344643623145808	0.102796800937931	4.69107467578696e-20	2.90201607130871e-17		-0.0253057682680842	0.00285836417324836	-0.0990403124439133	1.02470767785414e-18	3.38085219846676e-16		-0.0172404641504757	0.00280471357908266	-0.0640247477574518	8.18607948068675e-10	1.28497371142427e-07		0.0440074561776427		-0.0227980041711339	0.00285701204529537	-0.0893911585002426	1.65807692011971e-15	2.05145566941811e-12		-0.0155677387388171	0.00284465707350699	-0.0570374433010832	4.53271558876382e-08	9.3042704220125e-06		0.0729162172389351		-0.0274908693942333	0.00298998044827193	-0.102796800937931	4.69107467578696e-20	2.90201607130871e-17		-0.0186024947068526	0.00295433790024075	-0.0655741487617847	3.16383700041517e-10	5.82255105903992e-08		0.0344643623145808		7877	9165	INTEGER	LINEAR	Cognitive function	Online follow-up > Cognitive function online > Symbol digit substitution
1458	Cereal intake	0.0272591849522347	0.0740158214161172	1.05317713591266e-19	4.00936434279366e-17		-0.0392232080800594	0.00408945105261757	-0.0740158214161172	1.05317713591266e-19	4.00936434279366e-17		-0.0267684826724487	0.00388591774316397	-0.0499501027322995	1.67090849235413e-10	3.07504780127379e-08		0.0272591849522347		-0.028871539468793	0.00418244047757077	-0.0541164799259192	3.29500067560895e-11	9.59232843740512e-09		-0.029913489049297	0.00401205001940851	-0.0550247075699634	1.92456591083402e-12	2.05428165322423e-09		0.857323821603143		-0.0389149995474448	0.00436958037351397	-0.0698182321061409	1.07531770411245e-17	3.54783154510168e-15		-0.0331045778420182	0.0041744896381897	-0.0586010313758438	6.43432826271691e-14	2.28933399587468e-11		0.336305965416135		14980	16321	INTEGER	ORDERED-LOGISTIC	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet
20195	Number of symbol digit matches attempted	0.0559329759486841	0.0996423928439875	6.30010700185047e-19	2.83447541383254e-16		-0.0249709973148146	0.0028358023320996	-0.0985154203545462	1.5620984751859e-18	4.29490297427501e-16		-0.0173969919160352	0.00276719856268339	-0.0654726374317685	3.3694324867109e-10	5.61958161924252e-08		0.0559329759486841		-0.0214725443410514	0.00283544193378092	-0.0848850359513036	4.0280325660942e-14	3.3224555282667e-11		-0.0157496760252987	0.00280663799561179	-0.0584783594186592	2.05444657535004e-08	4.38583254905727e-06		0.151445355409609		-0.0264313315569278	0.00296719039921672	-0.0996423928439875	6.30010700185047e-19	2.83447541383254e-16		-0.0188050160251766	0.00291478428256683	-0.0671767809394671	1.15631493255735e-10	2.37355876733022e-08		0.0667229383986985		7877	9165	INTEGER	LINEAR	Cognitive function	Online follow-up > Cognitive function online > Symbol digit substitution
4080	Systolic blood pressure, automated reading	0.205685669271897	0.0727389286106051	9.92681903613667e-19	3.38085219846676e-16		0.0199794607766601	0.00225830137674823	0.0727389286106051	9.92681903613667e-19	3.38085219846676e-16		0.0167409915555911	0.00219269215395178	0.0600327126458221	2.37586938160008e-14	9.05715349257116e-12		0.303551758608144		0.0155498480764361	0.002272668288225	0.0563441220628548	8.08070856950382e-12	2.66609511403163e-09		0.0116647921180882	0.00222218487782833	0.0413333895487664	1.54334797349745e-07	2.65704778534061e-05		0.221603173127418		0.020380307087774	0.00237394252024901	0.0706002344077252	9.92482493915954e-18	3.5084256159929e-15		0.0161891134401619	0.00230926011960586	0.0551466128328892	2.45946177473249e-12	5.96643067806695e-10		0.205685669271897		14680	16091	INTEGER	LINEAR	Physical measures	UK Biobank Assessment Centre > Physical measures > Blood pressure
20403	Amount of alcohol drunk on a typical drinking day	0.450168996395157	0.0877275983625986	1.15450467675831e-18	3.57102727829805e-16		0.0457550948957775	0.00492222933773814	0.0877275983625986	1.15450467675831e-18	3.57102727829805e-16		0.0416096741787399	0.00506852637638311	0.0709384564196109	4.73084584808957e-14	1.57803276820338e-11		0.557384675007673		0.0296157726645009	0.00497925334271466	0.0569066417197219	1.14395299194222e-08	2.05666779978185e-06		0.0350893023320524	0.00526751827061	0.0588173795230601	4.21069062330396e-10	1.40452849103583e-07		0.450168996395157		0.0428650637029797	0.00524225592091837	0.0783399031139126	3.57103421091219e-15	7.68393404774105e-13		0.0443538878391387	0.00546767503932382	0.0715885363872716	2.77119594746237e-14	1.05641948368619e-11		0.844178814790748		10030	11240	CAT-SIN	ORDERED-LOGISTIC	Mental health	Online follow-up > Mental health > Alcohol use
3063	Forced expiratory volume in 1-second (FEV1)	0.0391963890714396	0.0731170614845146	1.4130888757324e-18	4.11375108588215e-16		-0.018933189855106	0.00214963672065314	-0.0731170614845146	1.4130888757324e-18	4.11375108588215e-16		-0.0127839337882732	0.00206674479255271	-0.0487739353687862	6.32052386492805e-10	1.02220108688245e-07		0.0391963890714396		-0.0111741416676799	0.00216856988837382	-0.0428892855781542	2.59462129430706e-07	3.05732875845849e-05		-0.00721706813125844	0.00209293308494043	-0.0272238955505468	0.000565025083464997	0.0267252905294385		0.189189873990135		-0.0169172742233263	0.00226283194279311	-0.0621334039521239	8.0558346661267e-14	1.42386877723789e-11		-0.0109915267335666	0.00217500262416496	-0.0398718282517901	4.3752842347927e-07	4.02601585536011e-05		0.0590259482165005		14398	16030	CONTINUOUS	LINEAR	Physical measures	UK Biobank Assessment Centre > Physical measures > Spirometry
51	Seated height	0.438544397150996	0.0702978520735797	1.80866319731733e-18	4.71109166501235e-16		-0.0190978167960178	0.00217540290981225	-0.0702978520735797	1.80866319731733e-18	4.71109166501235e-16		-0.0167114642873393	0.00218113698976949	-0.0586082732658911	1.92348149796335e-14	7.89663134971569e-12		0.438544397150996		-0.0135765351444461	0.00219007558318016	-0.0497320297632906	5.80419829307421e-10	1.51184091328549e-07		-0.0148210204505777	0.00221186031886976	-0.0512874328462821	2.13232537458641e-11	1.26446894712974e-08		0.689295050222912		-0.0185726706296341	0.00228770800643083	-0.0650436550559971	5.04780273921829e-16	1.24907878781957e-13		-0.0179404337094685	0.00229696553380869	-0.0597395568204748	6.00040081254654e-15	2.66867826138007e-12		0.845375041560775		15484	17006	CONTINUOUS	LINEAR	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures
20405-0	Ever had known person concerned about, or recommend reduction of, alcohol consumption	1	0.0847283750911354	2.9487418680601e-18	7.29666175251472e-16		-999	-999	-0.0847283750911354	2.9487418680601e-18	7.29666175251472e-16		-999	-999	-0.0386743576058194	1.84123364416699e-05	0.000972937025635567		1		-999	-999	-0.0540992370735517	2.82982137702732e-08	4.37649562340881e-06		-999	-999	-0.0435558325833053	1.40050610849283e-06	0.000162489154370135		1		-999	-999	-0.0751091844966132	1.17981526704917e-14	2.33556230265054e-12		-999	-999	-0.0511524796439469	1.44052455857492e-08	1.67132164545964e-06		1		9180/10502	11629/12250	CAT-SIN	MULTINOMIAL-LOGISTIC	Mental health	Online follow-up > Mental health > Alcohol use
1558	Alcohol intake frequency.	0.775973420212822	0.0682441397787502	7.94258909477458e-19	1.0597399499703e-15		-0.0310964183990778	0.0038136274790434	-0.0608827019362514	2.84501928466631e-14	3.70526327363515e-12		-0.0318447940931165	0.0037302485756386	-0.0603283740338988	2.82281057004536e-15	1.25544500102767e-12		0.888434211528033		-0.0317676803500171	0.00389964958322822	-0.0618605427712375	1.09425028816336e-14	1.08308893522409e-11		-0.0333284465796564	0.00385668845033623	-0.0621396092938542	4.06729844896245e-16	7.2357239407042e-13		0.775973420212822		-0.0366863216176639	0.00408339369472378	-0.0682441397787502	1.47862561774284e-17	4.57357386388082e-15		-0.0376952011520094	0.00401436531331638	-0.0676467408739264	7.94258909477458e-19	1.0597399499703e-15		0.860147089936816		15548	17081	CAT-SIN	ORDERED-LOGISTIC	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol
20230	Duration to entering value	0.0277636387051229	0.0963025676342073	8.47309549572198e-18	3.2256422775637e-15		0.0239207584604072	0.00282868160901742	0.0945861061036416	3.21596260354102e-17	6.91991257605413e-15		0.0153275021366565	0.00275961048767576	0.0578303264610806	2.85430923877573e-08	3.31161921898828e-06		0.0296671986071269		0.0208007585348983	0.00282836345003589	0.0823931717722075	2.09379030817219e-13	1.15135202612713e-10		0.0136584378579069	0.00279868350671904	0.0508425945090623	1.07354408909663e-06	0.000136416781035922		0.072651520342003		0.0254906979345609	0.00295986710977198	0.0963025676342073	8.47309549572198e-18	3.2256422775637e-15		0.016361549954274	0.00290670364784975	0.0586038639451113	1.85896385205853e-08	2.11091278264604e-06		0.0277636387051229		7890	9182	INTEGER	LINEAR	Cognitive function	Online follow-up > Cognitive function online > Symbol digit substitution
20416	Frequency of consuming six or more units of alcohol	0.222622232112814	0.0849067597763229	1.41623791101106e-17	3.3376006769494e-15		0.0439421683423491	0.00488131748989196	0.0849067597763229	1.41623791101106e-17	3.3376006769494e-15		0.0456124874108916	0.00503471455089451	0.0779140416697047	1.08137353580178e-16	5.7712905605741e-14		0.811733293764754		0.026673395226939	0.00496282638695297	0.0514924168764954	2.42306286695425e-07	2.96072815725292e-05		0.0354812650471507	0.005246709126765	0.0596044559380016	2.32690329703779e-10	8.8509784702652e-08		0.222622232112814		0.0405350368090623	0.00521231614101176	0.0745687246293779	6.96513493614205e-14	1.27668343699878e-11		0.0468525043294255	0.00544544008721015	0.0757001348951126	7.73004201995895e-16	4.12552342605209e-13		0.401982647291079		10031	11269	CAT-SIN	ORDERED-LOGISTIC	Mental health	Online follow-up > Mental health > Alcohol use
20150	Forced expiratory volume in 1-second (FEV1), Best measure	0.0247676442156125	0.0755582389438233	2.11818394783189e-17	4.76495107173638e-15		-0.0195358022585662	0.00229868847109822	-0.0755582389438233	2.11818394783189e-17	4.76495107173638e-15		-0.0123316784226412	0.00223906464790511	-0.0472307430031278	3.69536702035107e-08	4.18424376249849e-06		0.0247676442156125		-0.0112483678605307	0.00232620511925167	-0.0431154641714078	1.34072893694566e-06	0.000135413622631512		-0.0078292368414205	0.00227169583558933	-0.0295856404558445	0.000569124170656409	0.0267252905294385		0.292994183556481		-0.0172931126749109	0.00242343239890464	-0.0635216864122591	1.01019990550746e-12	1.5149937370777e-10		-0.0111100490339947	0.0023551678741	-0.0404722120142126	2.40874818308178e-06	0.000194780137168295		0.0672987107752923		12547	13556	CONTINUOUS	LINEAR	Physical measures	UK Biobank Assessment Centre > Physical measures > Spirometry
20151	Forced vital capacity (FVC), Best measure	0.0199559110151904	0.0742980977357538	7.13447834405161e-17	1.47118888852964e-14		-0.0195882660440887	0.00234428816357929	-0.0742980977357538	7.13447834405161e-17	1.47118888852964e-14		-0.0119567220993395	0.0022930817727122	-0.0447236392433099	1.86800524348073e-07	1.60799096523494e-05		0.0199559110151904		-0.0121987550843734	0.00237183419877994	-0.0458504142730668	2.73487219607002e-07	3.14764709263966e-05		-0.00713380147524387	0.00232644313003348	-0.0263269000724615	0.00216882502966243	0.0715918653020338		0.127380242445108		-0.0177555260940329	0.00247120144160823	-0.0639568374629605	7.06623665027723e-13	1.1280904897491e-10		-0.010577330463447	0.00241197525570267	-0.0376303725600818	1.16468885828458e-05	0.000792804337517157		0.0376431318112553		12547	13556	CONTINUOUS	LINEAR	Physical measures	UK Biobank Assessment Centre > Physical measures > Spirometry
135	Number of self-reported non-cancer illnesses	0.0323702566722852	0.0663900105132238	1.10818806196217e-16	2.19376908746031e-14		0.0337859735451971	0.00382768861876015	0.0663900105132238	1.10818806196217e-16	2.19376908746031e-14		0.0222322257093996	0.00380823528235433	0.0415516571421785	5.54542500944937e-08	5.38107877735114e-06		0.0323702566722852		0.0211655720452191	0.00391225906806016	0.0413767838348509	2.45281581021155e-07	2.96072815725292e-05		0.0123525753857588	0.00390849707042881	0.0228849120255578	0.00278614927255583	0.0849695923864598		0.111017029636132		0.0303844179030913	0.00409467955813514	0.0568074674371849	1.32714958663634e-12	1.93178332478331e-10		0.0190521547579043	0.0040787063630897	0.0338979531390711	9.38536663466731e-06	0.000676887861205668		0.0499047209059636		15535	17068	INTEGER	ORDERED-LOGISTIC	Medical history and conditions	UK Biobank Assessment Centre > Verbal interview > Medical conditions
20155	Interval between previous point and current one in alphanumeric path (trail #2)	0.0252310671895725	0.0949247093808389	2.01742814280972e-16	5.54680659931406e-14		0.0238277664186414	0.00302442584278038	0.0908262354865297	3.74831201261254e-15	5.79699879700608e-13		0.0164284439667313	0.00302136214131537	0.0588788293463758	5.5317050138399e-08	5.38107877735114e-06		0.083482396293754		0.0219214894695288	0.00303320416148249	0.0833998703098543	5.37580542878987e-13	2.41862373337101e-10		0.0122841705898036	0.00305708056428712	0.0435629763767443	5.89906742544238e-05	0.00403632344225461		0.0252310671895725		0.0261392299335365	0.00317273204813531	0.0949247093808389	2.01742814280972e-16	5.54680659931406e-14		0.0161164750596732	0.00318600869209718	0.0547949515107614	4.29764812956251e-07	4.02395580131142e-05		0.0258070845983907		7435	8488	INTEGER	LINEAR	Cognitive function	Online follow-up > Cognitive function online > Trail making
3062	Forced vital capacity (FVC)	0.0392610859209723	0.0675829208081961	4.38574326505933e-16	8.34809362260716e-14		-0.0178405878719058	0.00219274247141276	-0.0675829208081961	4.38574326505933e-16	8.34809362260716e-14		-0.0115432722743136	0.00212691534317861	-0.0428121721828349	5.79320165355587e-08	5.5211280758978e-06		0.0392610859209723		-0.0103269874122731	0.00221154942591792	-0.0388769497251051	3.03975687934529e-06	0.000263509085538927		-0.00630287201010732	0.00215349873959235	-0.0231103319251557	0.00342700539463204	0.0957872471841996		0.19235604345548		-0.0156326111000034	0.00230810046832595	-0.0563182774123694	1.30578093995988e-11	1.70060786101617e-09		-0.00983635570350659	0.00223814525979458	-0.0346848717442199	1.11381788139316e-05	0.000772005978311077		0.0714126868540809		14398	16030	CONTINUOUS	LINEAR	Physical measures	UK Biobank Assessment Centre > Physical measures > Spirometry
23119	Arm fat percentage (right)	2.9415051638821e-05	0.0653305002504867	4.65519205944305e-16	8.53279463043839e-14		0.0183561881706861	0.00225828432299798	0.0653305002504867	4.65519205944305e-16	8.53279463043839e-14		0.00496749376906394	0.00227369225908973	0.0168277210794468	0.0289079587872099	0.242200590341192		2.9415051638821e-05		0.00735813194197669	0.00227617884873764	0.0260523309289243	0.00122788860023494	0.0471071370741296		-0.00335022062812964	0.00230219134359757	-0.0112099318700965	0.145594969125115	0.602575131540056		0.000940818096475928		0.0135518487348498	0.00237699998536568	0.0458974679169805	1.20804630497098e-08	1.1033110513992e-06		8.94060482730098e-05	0.00239354245382552	0.000287764792674758	0.970201830708089	0.994812422483279		6.58290400351543e-05		15385	16853	CONTINUOUS	LINEAR	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures
12144	Height	0.534542069615226	0.0647046983511641	6.22579845994572e-16	1.10040987779541e-13		-0.0175302380269525	0.00216614587624408	-0.0647046983511641	6.22579845994572e-16	1.10040987779541e-13		-0.0172221266369561	0.00214492197016508	-0.0612638807487172	1.03915952430617e-15	5.04181307383821e-13		0.919492977810503		-0.0125918090804141	0.00218034588485712	-0.0462454017893571	7.81482609200841e-09	1.48752208959037e-06		-0.0145042190333624	0.00217419917675534	-0.0509451789443953	2.60912768226723e-11	1.39249144402602e-08		0.534542069615226		-0.0171008470205782	0.00227755152838803	-0.0600585680634673	6.2802627365008e-14	1.19542385703625e-11		-0.0179511003561989	0.00225804808065067	-0.0606612245483753	1.97450915306103e-15	9.57995940898792e-13		0.79092542552971		15549	17084	INTEGER	LINEAR	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures
20157	Duration to complete alphanumeric path (trail #2)	0.0305748338186395	0.0957659508457793	4.67101029003579e-16	1.2166752592309e-13		0.0242871111843392	0.00309225795645307	0.0924750232780863	4.56753277016947e-15	6.84991505441476e-13		0.0165249963310619	0.00309905067745007	0.0593254677237436	9.91891660287049e-08	8.97241659483387e-06		0.0762262638016808		0.0217047089870029	0.00309707093617089	0.0826219186665395	2.614325559026e-12	1.07819143263497e-09		0.012520409861629	0.00314828099505265	0.0442978659089229	7.0254310453866e-05	0.00474616778344662		0.0375579762639554		0.0263706991991499	0.00324063769069286	0.0957659508457793	4.67101029003579e-16	1.2166752592309e-13		0.0164110122660529	0.00327244823749922	0.0558114730196749	5.39840554063389e-07	4.88326955429883e-05		0.0305748338186395		7125	8040	CONTINUOUS	LINEAR	Cognitive function	Online follow-up > Cognitive function online > Trail making
22334	PP interval	0.0716867315142538	0.0853590059965555	1.77110504408532e-15	3.02248236661319e-13		-0.0240259249735029	0.00301448941714388	-0.0853590059965555	1.77110504408532e-15	3.02248236661319e-13		-0.0163148171293899	0.0030401662465115	-0.0551592323662724	8.19084491362468e-08	7.53698953517499e-06		0.0716867315142538		-0.0203681191706354	0.00305846931692535	-0.0714409058719775	2.89577094099722e-11	8.95698149187203e-09		-0.0163035655056477	0.00308815214389283	-0.0542686629448386	1.32012789243554e-07	2.42949053859603e-05		0.34970539907443		-0.0248550117797059	0.00317873712520335	-0.0837589829738434	5.89375795510043e-15	1.21534200499133e-12		-0.0188553208433019	0.00321233451393593	-0.0603048219469767	4.49396169558791e-09	5.99606839233817e-07		0.184313369737641		8627	9426	INTEGER	LINEAR	Physical measures	UK Biobank Assessment Centre > Physical measures > ECG at rest, 12-lead
