annotation	Prop._SNPs	top_Enrichment	top_Enrichment_p	top_Enrichment_FDR	NA	gap_gm_Prop._h2	gap_gm_Enrichment	gap_gm_Enrichment_p	gap_gm_Enrichment_FDR	NA.1	gap_wm_Prop._h2	gap_wm_Enrichment	gap_wm_Enrichment_p	gap_wm_Enrichment_FDR	NA.2	gap_gwm_Prop._h2	gap_gwm_Enrichment	gap_gwm_Enrichment_p	gap_gwm_Enrichment_FDR
Conserved (GERP RS >= 4)	0.0081499252074974	12.5464928741926	0.00822745452077066	0.0364358700205558		0.0216890932046013	2.66126285240615	0.633489762099033	0.903601954467529		0.102252978541069	12.5464928741926	0.00822745452077066	0.0364358700205558		0.0769311679113041	9.43949373186056	0.0415357404338216	0.160950994181059
Coding	0.0142591398753162	7.43074848101087	0.0130779511827191	0.0379940709960858		0.105956081969027	7.43074848101087	0.0130779511827191	0.0379940709960858		0.0824741723708383	5.78395142287708	0.0270311248881958	0.104745608941759		0.0839613619307011	5.88824870678529	0.028760653345545	0.127368607673128
Transcription Start Site	0.0178069398920579	8.20574259660843	0.0134817671276433	0.0379940709960858		0.146119165187506	8.20574259660843	0.0134817671276433	0.0379940709960858		0.0461037516592092	2.58908896973208	0.799725263859624	0.999999999998313		0.0935336154532722	5.25264958607454	0.951150324845471	0.999999999999604
Digital Genomic Footprint	0.135362603144791	2.8713859141584	0.0193207873949296	0.0490024600498124		0.388678271973767	2.8713859141584	0.0193207873949296	0.0490024600498124		0.165289331251643	1.22108564264859	0.59398894788573	0.999999999998313		0.261735810843763	1.9335902587792	0.156702675046249	0.485778292643371
DNase I hypersensitive sites	0.165742769149422	2.65034612250094	0.0205494187305665	0.0490024600498124		0.43927570554774	2.65034612250094	0.0205494187305665	0.0490024600498124		0.350587299400762	2.11524943863281	0.930827865601205	0.999999999998313		0.37356720168672	2.25389743156721	0.952247516463584	0.999999999999604
3'-UTR	0.0111681302243406	5.35853832541418	0.0238190626466418	0.0527422101461353		0.0598448538303455	5.35853832541418	0.0238190626466418	0.0527422101461353		0.0373607506330214	3.34530041130741	0.857651958490939	0.999999999998313		0.0426589657757124	3.81970526120285	0.905530217375427	0.999999999999604
Transcription Factor Binding Site	0.130971510741451	2.37273090674616	0.05436493362917	0.112354196166951		0.310760151439479	2.37273090674616	0.05436493362917	0.112354196166951		0.140972054539678	1.07635663467277	0.545014560927362	0.999999999998313		0.191588670397505	1.46282706302225	0.737376461693651	0.999999999999604
Fetal DNase I hypersensitive sites	0.0836828878411061	2.99485950483544	0.0421422420085783	0.145156611362881		0.2359645956282	2.81974728305553	0.9306547417222	0.994837827358213		0.250618492043014	2.99485950483544	0.0421422420085783	0.145156611362881		0.244862396848958	2.92607489017221	0.946145138106299	0.999999999999604
Repressed	0.460018093796861	0.999999999998313	0.136546410157052	0.349655642840977		0.369142117988924	0.802451301300191	0.191746642848278	0.349655642840977		0.332895142879297	0.723656628659263	0.909799895953505	0.999999999998313		0.358613614615081	0.779564150738472	0.136546410157052	0.47032652387429
FANTOM5 Enhancer	0.00431375844865067	5.17097235906418	0.239259037417385	0.412057231107718		0.0223063257016522	5.17097235906418	0.239259037417385	0.412057231107718		0.0131759843085446	3.05440938925682	0.356398632244674	0.999999999998313		0.0145457019673668	3.37193242053611	0.328817254627259	0.926666808495002
Synonymous	0.00312003085306062	4.43696563550667	0.519872502556143	0.903601954467529		0.0138434696767505	4.43696563550667	0.640009632863012	0.903601954467529		0.00190089481339848	0.609255133337473	0.519872502556143	0.999999999998313		0.00869405148251131	2.78652740692702	0.580524199674354	0.999999999999604
Enhancer	0.0419232233194921	2.32312404906809	0.562150449849263	0.903601954467529		0.051221332331496	1.22178898175706	0.562150449849263	0.903601954467529		0.0973928483079641	2.32312404906809	0.87204951265011	0.999999999998313		0.0637824754514544	1.52141153282455	0.670228756874911	0.999999999999604
Transcribed	0.345192604324092	1.16075969943374	0.574988414266903	0.903601954467529		0.314746169385884	0.911798704384689	0.641265903170504	0.903601954467529		0.400685663641984	1.16075969943374	0.735761917532361	0.999999999998313		0.360320424146569	1.04382428717469	0.574988414266903	0.999999999999604
CCCTC Binding Factor	0.0238146642288857	0.999999999999604	0.703816596272626	0.948622368889192		-0.00312744997730733	-0.131324546390788	0.703816596272626	0.948622368889192		-0.0226188183416793	-0.949785313968194	0.868672930672055	0.999999999998313		-0.0171783731732072	-0.721335938567251	0.824709608131255	0.999999999999604
Promoter	0.0463352847994828	2.17922078913595	0.759581037522397	0.981125506799763		0.0777429049465538	1.67783375634764	0.759581037522397	0.981125506799763		0.100974815905568	2.17922078913595	0.881892339730031	0.999999999998313		0.0904558020237986	1.95220127415313	0.831336030458121	0.999999999999604
5'-UTR	0.00546017980731599	5.73215605232646	0.789813337342466	0.994837827358213		0.0312986027292971	5.73215605232646	0.893998910630469	0.994837827358213		0.0229563386590794	4.20431917431009	0.841446051550559	0.999999999998313		0.0205889297798103	3.77074208292987	0.789813337342466	0.999999999999604
Promoter Flanking	0.00827691393569606	0.999999999999604	0.821124725123031	0.994837827358213		-0.0398058790246314	-4.80926578841898	0.905836219994677	0.994837827358213		-0.0200298178793559	-2.41996208187846	0.821124725123031	0.999999999998313		-0.0251607787826541	-3.03987439982221	0.84514356926502	0.999999999999604
Non-synonymous	0.00271541155000227	8.46062440993782	0.837110176153712	0.994837827358213		0.0227118619655039	8.36405883501708	0.837110176153712	0.994837827358213		0.0229740772429763	8.46062440993782	0.887168171978894	0.999999999998313		0.0208344575542101	7.6726703008215	0.848976953023909	0.999999999999604
Intron	0.387451332870001	1.28750779691314	0.918027239112285	0.994837827358213		0.44126634633738	1.13889489827987	0.918027239112285	0.994837827358213		0.498846611994513	1.28750779691314	0.99917022476566	0.999999999998313		0.486046792759051	1.25447185626828	0.995839827530738	0.999999999999604
H3K4me3	0.13288674232645	2.11913008683298	0.951614893652951	0.995878919086165		0.281604293805202	2.11913008683298	0.972982111139679	0.995878919086165		0.240297874167329	1.80829080433782	0.95405925529642	0.999999999998313		0.245609886545441	1.84826478733352	0.951614893652951	0.999999999999604
H3K4me1	0.423455069727212	1.71697838949873	0.995878919086165	0.995878919086165		0.720606439419026	1.7017305752963	0.995878919086165	0.995878919086165		0.71948154398495	1.6990741058985	0.998251342216588	0.999999999998313		0.727063203645304	1.71697838949873	0.997742582070483	0.999999999999604
