trait_description	custom_category	top_rgAbs	top_p	top_FDR	NA	gap_gm_rg	gap_gm_se	gap_gm_z	gap_gm_p	gap_gm_FDR	NA.1	gap_wm_rg	gap_wm_se	gap_wm_z	gap_wm_p	gap_wm_FDR	NA.2	gap_gwm_rg	gap_gwm_se	gap_gwm_z	gap_gwm_p	gap_gwm_FDR	NA.3	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se	category	showcase
Qualifications: None of the above	Sociodemographics	0.1327	4.6895e-05	0.00257661972222222		0.1327	0.0326	4.0706	4.6895e-05	0.00257661972222222		0.0708	0.0336	2.1058	0.0352	0.361634343434343		0.1068	0.0328	3.2558	0.0011	0.0428566666666667		0.1051	0.0037	1.0502	0.0126	-0.016	0.0066	Education - Sociodemographics - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6138
Recent restlessness	Mental health	0.2629	2.5091e-05	0.00263343727272727		0.2629	0.0654	4.0205	5.8082e-05	0.00263343727272727		0.2229	0.0618	3.6035	3e-04	0.074175		0.2598	0.0616	4.214	2.5091e-05	0.00620374975		0.0336	0.0045	0.9987	0.0073	-0.0065	0.0046	Anxiety - Mental health - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20516
Fractured bone site(s): Other bones	Medical history and conditions	0.3225	5.2994e-05	0.00263343727272727		0.3225	0.0798	4.042	5.2994e-05	0.00263343727272727		0.0779	0.0758	1.0287	0.3036	0.679769683257919		0.2037	0.0759	2.6836	0.0073	0.0937623376623377		0.0085	0.0016	1.0022	0.0069	-0.0119	0.005	Medical conditions - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6151
Age completed full time education	Sociodemographics	0.1522	5.5512e-05	0.00263343727272727		-0.1522	0.0378	-4.0311	5.5512e-05	0.00263343727272727		-0.0774	0.0352	-2.2007	0.0278	0.334830120481928		-0.1213	0.0357	-3.4005	7e-04	0.0428566666666667		0.1051	0.0045	1.0396	0.0102	0.0148	0.0059	Education - Sociodemographics - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=845
Townsend deprivation index at recruitment	Sociodemographics	0.1884	5.858e-05	0.00263343727272727		0.1884	0.0469	4.0185	5.858e-05	0.00263343727272727		0.11	0.0445	2.47	0.0135	0.251915094339623		0.1582	0.0457	3.4598	5e-04	0.0353214285714286		0.0334	0.0019	1.0191	0.007	-0.0058	0.0054	Baseline characteristics - Population characteristics	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=189
Taking other prescription medications	Medications	0.152	6.8459e-05	0.00291470168		0.152	0.0382	3.9816	6.8459e-05	0.00291470168		0.0791	0.0373	2.1223	0.0338	0.358775531914894		0.1193	0.0365	3.2677	0.0011	0.0428566666666667		0.046	0.0023	1.018	0.0089	0.0088	0.0053	Medication - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2492
Forced expiratory volume in 1-second (FEV1), Best measure	Physical measures	0.1317	7.2749e-05	0.00291470168		-0.1317	0.0332	-3.9671	7.2749e-05	0.00291470168		-0.0763	0.0398	-1.9149	0.0555	0.40738940397351		-0.1098	0.0369	-2.9802	0.0029	0.0585326530612245		0.2099	0.0087	1.072	0.0166	-0.009	0.0066	Spirometry - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20150
Age first had sexual intercourse	Lifestyle and environment	0.1253	7.3678e-05	0.00291470168		-0.1253	0.0316	-3.9641	7.3678e-05	0.00291470168		-0.0564	0.0394	-1.429	0.153	0.533654948805461		-0.0958	0.0363	-2.6389	0.0083	0.0989		0.1582	0.0053	1.0301	0.014	-0.0015	0.0065	Sexual factors - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2139
Spells in hospital	Medical history and conditions	0.1785	1e-04	0.00366296296296296		0.1785	0.0465	3.8418	1e-04	0.00366296296296296		0.0582	0.0515	1.1296	0.2586	0.636207462686567		0.1179	0.0483	2.4431	0.0146	0.124477586206897		0.036	0.0027	1.0009	0.0078	0.0043	0.0048	Summary Administration - Hospital inpatient - Health-related outcomes	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=41235
Falls in the last year	Medical history and conditions	0.1601	1e-04	0.00366296296296296		0.1601	0.0416	3.8493	1e-04	0.00366296296296296		0.0225	0.0433	0.5206	0.6027	0.843797454031117		0.0905	0.0424	2.135	0.0328	0.181777094972067		0.0331	0.002	1.002	0.0075	-0.0026	0.0052	General health - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2296
Types of transport used (excluding work): Public transport	Lifestyle and environment	0.1778	2e-04	0.00638064516129032		0.1778	0.0471	3.7726	2e-04	0.00638064516129032		0.1187	0.053	2.2398	0.0251	0.331835526315789		0.1585	0.0473	3.3481	8e-04	0.0428566666666667		0.0237	0.0017	1.0103	0.007	-0.0117	0.0051	Physical activity - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6162
Frequency of unenthusiasm / disinterest in last 2 weeks	Mental health	0.1597	2e-04	0.00638064516129032		0.1597	0.0434	3.6771	2e-04	0.00638064516129032		0.0988	0.0449	2.2021	0.0277	0.334830120481928		0.1382	0.0438	3.1535	0.0016	0.0465411764705882		0.0383	0.0025	1.0106	0.0089	0.0016	0.0051	Mental health - Psychosocial factors - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2060
Own or rent accommodation lived in: Rent - from local authority, local council, housing association	Sociodemographics	0.1535	2e-04	0.00638064516129032		0.1535	0.041	3.7438	2e-04	0.00638064516129032		0.0297	0.0402	0.7383	0.4603	0.782651016949153		0.093	0.0396	2.3455	0.019	0.150328		0.0365	0.0019	1.0129	0.0082	-0.0033	0.0054	Household - Sociodemographics - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=680
Neutrophill count	Biological samples	0.1092	2e-04	0.00638064516129032		0.1092	0.0294	3.7074	2e-04	0.00638064516129032		0.0851	0.0319	2.6691	0.0076	0.231570731707317		0.1039	0.0303	3.4324	6e-04	0.03956		0.1589	0.0169	1.1232	0.0367	0.0023	0.0067	Blood count - Blood assays - Biological samples	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30140
Fractured/broken bones in last 5 years	Medical history and conditions	0.1967	3e-04	0.00847714285714286		0.1967	0.0549	3.5804	3e-04	0.00847714285714286		0.0496	0.0563	0.8812	0.3782	0.734852259332024		0.1232	0.0539	2.2853	0.0223	0.153465517241379		0.0183	0.002	1.0103	0.0075	-0.0025	0.0049	Medical conditions - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2463
Medication for cholesterol, blood pressure or diabetes: Cholesterol lowering medication	Medications	0.1692	3e-04	0.00847714285714286		0.1692	0.0464	3.6449	3e-04	0.00847714285714286		0.0961	0.0463	2.0774	0.0378	0.370140594059406		0.1393	0.046	3.0276	0.0025	0.05375		0.0752	0.0072	1.0378	0.0166	0.0115	0.0057	Medication - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6177
Diabetes diagnosed by doctor	Medical history and conditions	0.1482	3e-04	0.00847714285714286		0.1482	0.0411	3.6028	3e-04	0.00847714285714286		0.0475	0.043	1.1042	0.2695	0.641672619047619		0.099	0.0427	2.3192	0.0204	0.150564179104478		0.0433	0.0027	1.0478	0.0111	0.0111	0.0054	Medical conditions - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2443
White blood cell (leukocyte) count	Biological samples	0.1073	3e-04	0.00847714285714286		0.1073	0.0293	3.6582	3e-04	0.00847714285714286		0.0755	0.0314	2.4023	0.0163	0.263733333333333		0.0967	0.0302	3.1978	0.0014	0.0446645161290323		0.1811	0.0141	1.1373	0.0338	0.0029	0.007	Blood count - Blood assays - Biological samples	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30000
Hearing difficulty/problems with background noise	Medical history and conditions	0.1417	2e-04	0.00941904761904762		0.1417	0.0402	3.5225	4e-04	0.00941904761904762		0.1177	0.0385	3.0606	0.0022	0.189558333333333		0.1397	0.038	3.6751	2e-04	0.01978		0.051	0.0024	1.0221	0.0086	-0.0046	0.0057	Hearing - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2257
Other pulmonary diagnosis	Medical history and conditions	0.2261	4e-04	0.00941904761904762		0.2261	0.0639	3.5403	4e-04	0.00941904761904762		0.072	0.0751	0.9585	0.3378	0.715807280513919		0.1548	0.0699	2.2157	0.0267	0.166077358490566		0.0131	0.0016	1.006	0.0073	-0.0015	0.0052	NA	NA
Father's age at death	Family history and early life factors	0.1918	4e-04	0.00941904761904762		-0.1918	0.0545	-3.5168	4e-04	0.00941904761904762		-0.0693	0.065	-1.0671	0.2859	0.65895		-0.1355	0.0603	-2.2452	0.0248	0.160308496732026		0.0308	0.0029	1.0098	0.0082	-0.003	0.005	Family history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1807
Medication for pain relief, constipation, heartburn: Omeprazole (e.g. Zanprol)	Medications	0.1835	4e-04	0.00941904761904762		0.1835	0.0517	3.5487	4e-04	0.00941904761904762		0.1139	0.0552	2.0636	0.0391	0.375435922330097		0.1559	0.0532	2.9324	0.0034	0.0614378787878788		0.0185	0.0016	1.022	0.0072	-0.0028	0.0056	Medication - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6154
Frequency of depressed mood in last 2 weeks	Mental health	0.1493	4e-04	0.00941904761904762		0.1493	0.0423	3.5273	4e-04	0.00941904761904762		0.1071	0.0476	2.2492	0.0245	0.331835526315789		0.1374	0.045	3.0511	0.0023	0.05375		0.0423	0.0027	1.0022	0.0087	-4e-04	0.0053	Mental health - Psychosocial factors - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2050
Medication for pain relief, constipation, heartburn: None of the above	Medications	0.1436	4e-04	0.00941904761904762		-0.1436	0.0409	-3.5147	4e-04	0.00941904761904762		-0.0709	0.0377	-1.882	0.0598	0.40738940397351		-0.1102	0.0382	-2.882	0.004	0.0614378787878788		0.0545	0.0025	1.0259	0.009	-0.0058	0.0058	Medication - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6154
Heel bone mineral density (BMD) (right)	Physical measures	0.1256	4e-04	0.00941904761904762		-0.1212	0.0344	-3.5247	4e-04	0.00941904761904762		-0.1134	0.0423	-2.6819	0.0073	0.231570731707317		-0.1256	0.038	-3.303	0.001	0.0428566666666667		0.3106	0.037	1.0302	0.0234	-0.0038	0.0063	Bone-densitometry of heel - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=4124
COPD differential diagnosis	Medical history and conditions	0.2167	5e-04	0.0109888888888889		0.2167	0.0625	3.4699	5e-04	0.0109888888888889		0.072	0.074	0.9735	0.3303	0.711692156862745		0.1504	0.0686	2.1931	0.0283	0.170827272727273		0.0139	0.0017	1.0027	0.0073	-0.0011	0.0051	NA	NA
Current employment status: Unable to work because of sickness or disability	Sociodemographics	0.1937	5e-04	0.0109888888888889		0.1937	0.0553	3.5048	5e-04	0.0109888888888889		0.1031	0.0532	1.9383	0.0526	0.400164615384615		0.1543	0.0534	2.8902	0.0039	0.0614378787878788		0.0243	0.0017	1.0075	0.0069	-0.0017	0.0053	Employment - Sociodemographics - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6142
Leisure/social activities: Sports club or gym	Mental health	0.1585	5e-04	0.0109888888888889		-0.1585	0.0458	-3.4587	5e-04	0.0109888888888889		-0.0982	0.0446	-2.2013	0.0277	0.334830120481928		-0.1352	0.0448	-3.0186	0.0025	0.05375		0.0358	0.002	1.0114	0.0079	0.0147	0.0053	Social support - Psychosocial factors - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6160
Non-cancer illness code, self-reported: high cholesterol	Medical history and conditions	0.1619	6e-04	0.0121102040816327		0.1619	0.0471	3.4348	6e-04	0.0121102040816327		0.0509	0.0452	1.1245	0.2608	0.640027791563275		0.1074	0.0458	2.3464	0.019	0.150328		0.0426	0.0058	1.0623	0.0312	0.0059	0.0058	Medical conditions - Verbal interview - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20002
Frequency of tenseness / restlessness in last 2 weeks	Mental health	0.1475	6e-04	0.0121102040816327		0.1475	0.0432	3.4118	6e-04	0.0121102040816327		0.1145	0.0459	2.4936	0.0126	0.244341176470588		0.1416	0.0448	3.1621	0.0016	0.0465411764705882		0.0432	0.0025	1.0102	0.0096	2.8389e-05	0.0058	Mental health - Psychosocial factors - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2070
Current tobacco smoking	Lifestyle and environment	0.1401	6e-04	0.0121102040816327		0.1401	0.0407	3.4422	6e-04	0.0121102040816327		0.1033	0.0464	2.226	0.026	0.333948051948052		0.1284	0.0433	2.9633	0.003	0.05934		0.053	0.0025	1.0139	0.0087	0.0021	0.006	Smoking - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1239
Forced expiratory volume in 1-second (FEV1)	Physical measures	0.1155	6e-04	0.0121102040816327		-0.1155	0.0336	-3.4338	6e-04	0.0121102040816327		-0.0712	0.039	-1.826	0.0679	0.414525308641975		-0.0992	0.0367	-2.7019	0.0069	0.090988		0.1884	0.0075	1.0742	0.0167	-0.017	0.0067	Spirometry - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=3063
Illnesses of mother: None of the above (group 1)	Family history and early life factors	0.1776	7e-04	0.0133134615384615		-0.1776	0.0521	-3.406	7e-04	0.0133134615384615		-0.0217	0.0543	-0.4004	0.6889	0.894501308900523		-0.0975	0.0515	-1.8929	0.0584	0.244735593220339		0.0175	0.0017	1.0147	0.0075	1e-04	0.0046	Family history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20110
Heel quantitative ultrasound index (QUI), direct entry (right)	Physical measures	0.1225	7e-04	0.0133134615384615		-0.1172	0.0344	-3.4036	7e-04	0.0133134615384615		-0.1117	0.0423	-2.6399	0.0083	0.231570731707317		-0.1225	0.0381	-3.2158	0.0013	0.0428566666666667		0.3085	0.0367	1.0314	0.0232	-0.0045	0.0063	Bone-densitometry of heel - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=4123
Heel bone mineral density (BMD) T-score, automated (right)	Physical measures	0.1225	7e-04	0.0133134615384615		-0.1172	0.0344	-3.4035	7e-04	0.0133134615384615		-0.1117	0.0423	-2.6399	0.0083	0.231570731707317		-0.1225	0.0381	-3.2158	0.0013	0.0428566666666667		0.3085	0.0366	1.0314	0.0232	-0.0045	0.0063	Bone-densitometry of heel - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=4125
Forced vital capacity (FVC), Best measure	Physical measures	0.1137	8e-04	0.0149283018867925		-0.1137	0.0338	-3.362	8e-04	0.0149283018867925		-0.0631	0.0377	-1.6708	0.0948	0.44434691943128		-0.0927	0.0362	-2.5588	0.0105	0.107056701030928		0.2345	0.0102	1.0965	0.0202	-0.014	0.0068	Spirometry - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20151
Drive faster than motorway speed limit	Lifestyle and environment	0.14	4e-04	0.0158946428571429		-0.1252	0.0377	-3.317	9e-04	0.0158946428571429		-0.1339	0.0409	-3.2727	0.0011	0.155414285714286		-0.14	0.0392	-3.5717	4e-04	0.0329666666666667		0.0608	0.0028	1.0199	0.0093	0.0099	0.0057	Physical activity - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1100
Health satisfaction	Mental health	0.1626	9e-04	0.0158946428571429		0.1626	0.0492	3.3068	9e-04	0.0158946428571429		0.0454	0.0553	0.8207	0.4118	0.754089648798521		0.1079	0.0524	2.0573	0.0397	0.200322959183673		0.0829	0.0051	1.0052	0.0076	0.002	0.0054	Mental health - Psychosocial factors - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=4548
Smoking status: Current	Lifestyle and environment	0.1366	9e-04	0.0158946428571429		0.1366	0.0413	3.3119	9e-04	0.0158946428571429		0.1038	0.0481	2.1561	0.0311	0.358775531914894		0.1275	0.0444	2.8735	0.0041	0.0614378787878788		0.0499	0.0024	1.0148	0.0085	0.0027	0.0059	Smoking - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20116
Alcohol intake versus 10 years previously	Lifestyle and environment	0.1542	0.001	0.0164833333333333		0.1542	0.0469	3.2884	0.001	0.0164833333333333		-0.0349	0.0446	-0.7831	0.4336	0.767138461538461		0.0522	0.0441	1.1824	0.2371	0.521093111111111		0.0337	0.0022	1.0217	0.008	-0.0157	0.0054	Alcohol - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1628
Cereal type: Muesli	Lifestyle and environment	0.1385	0.001	0.0164833333333333		-0.1385	0.042	-3.2988	0.001	0.0164833333333333		-0.0678	0.0411	-1.649	0.0991	0.457990186915888		-0.1073	0.0419	-2.5616	0.0104	0.107056701030928		0.0509	0.0025	1.0214	0.0078	0.0025	0.005	Diet - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1468
Types of physical activity in last 4 weeks: Other exercises (eg: swimming, cycling, keep fit, bowling)	Lifestyle and environment	0.1342	0.001	0.0164833333333333		-0.1342	0.0409	-3.2769	0.001	0.0164833333333333		-0.069	0.0424	-1.6281	0.1035	0.467404109589041		-0.1073	0.0406	-2.6469	0.0081	0.0989		0.0474	0.0024	1.0115	0.0089	0.0134	0.0054	Physical activity - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6164
Wheeze or whistling in the chest in last year	Medical history and conditions	0.1273	0.001	0.0164833333333333		0.1273	0.0387	3.287	0.001	0.0164833333333333		0.0425	0.0427	0.9963	0.3191	0.698207743362832		0.0882	0.04	2.2066	0.0273	0.168496296296296		0.0611	0.003	1.0202	0.0102	0.0043	0.0059	Breathing - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2316
Job involves heavy manual or physical work	Sociodemographics	0.1348	0.0011	0.0174529411764706		0.1348	0.0412	3.2688	0.0011	0.0174529411764706		0.0551	0.0407	1.3542	0.1757	0.560538658146965		0.0975	0.04	2.4374	0.0148	0.125104273504273		0.0822	0.0042	1.0238	0.0089	-0.0056	0.0057	Employment - Sociodemographics - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=816
