id	structure	category	a_n	b_n	top_deltaP	top_rhoAbs	top_pvalue	top_fdr	NA	a_gap_gm_rho	a_gap_gm_pval	a_gap_gm_fdr	NA.1	b_gap_gm_rho	b_gap_gm_pval	b_gap_gm_fdr	NA.2	gap_gm_deltaP	NA.3	a_gap_wm_rho	a_gap_wm_pval	a_gap_wm_fdr	NA.4	b_gap_wm_rho	b_gap_wm_pval	b_gap_wm_fdr	NA.5	gap_wm_deltaP	NA.6	a_gap_gwm_rho	a_gap_gwm_pval	a_gap_gwm_fdr	NA.7	b_gap_gwm_rho	b_gap_gwm_pval	b_gap_gwm_fdr	NA.8	gap_gwm_deltaP
Right.Thalamus.Proper	Thalamus proper (right)	subcortical volume	15317	16961	0.185082857988444	0.191349671699697	1.50501182072757e-139	4.73003715085808e-138		-0.125991545767724	3.24306773996937e-55	1.20927949625977e-54		-0.140502502646744	1.71716947312373e-75	8.03781455504725e-75		0.185082857988444		-0.186229161726642	1.55943082986695e-119	4.90106832243899e-118		-0.191349671699697	1.50501182072757e-139	4.73003715085808e-138		0.633849788591741		-0.174939725382493	1.70940583002357e-105	3.41881166004714e-104		-0.182275519462309	1.35443301588609e-126	2.9797526349494e-125		0.496663786615565
RH_ThickAvg_superiorfrontal	Superiorfrontal (right)	cortical thickness	15317	16961	0.0122776976978467	0.198272832697675	1.51043140138194e-135	3.32294908304027e-134		-0.192133305598744	2.99949271201496e-127	7.33209329603657e-126		-0.176766899937726	4.66637020034958e-119	6.84400962717938e-118		0.153570609925265		-0.173174400202162	2.20850030374678e-103	5.39855629804768e-102		-0.145972840879437	2.12843091023883e-81	3.12169866835028e-80		0.0122776976978467		-0.198272832697675	1.51043140138194e-135	3.32294908304027e-134		-0.175106405891402	7.81307846294434e-117	1.43239771820646e-115		0.0312940247208073
LH_GrayVol_superiorfrontal	Superiorfrontal (left)	cortical volume	15317	16961	0.191708581674368	0.185319602483195	7.26054893911635e-131	1.45210978782327e-129		-0.171228764298267	4.41337586989946e-101	6.47295127585254e-100		-0.185319602483195	7.26054893911635e-131	1.45210978782327e-129		0.191708581674368		-0.117146003712582	6.3051691700102e-48	3.96324919257784e-47		-0.11708928118271	7.84473342424476e-53	5.95117708046154e-52		0.9958836653494		-0.157549243576637	1.11928945315629e-85	1.23121839847192e-84		-0.162417394471359	1.43097837944482e-100	1.85185437339918e-99		0.654029570579819
RH_GrayVol_superiortemporal	Superiortemporal (right)	cortical volume	15317	16961	2.3549907377074e-05	0.184441118402689	1.26243959193735e-129	2.31447258521847e-128		-0.13854454639994	1.71061150450538e-66	8.75196583700427e-66		-0.184441118402689	1.26243959193735e-129	2.31447258521847e-128		2.3549907377074e-05		-0.0634610985951606	3.83936958825558e-15	7.60956134609214e-15		-0.0911882878195578	1.21187500091477e-32	3.97929104777984e-32		0.0123352528147231		-0.106408614940502	8.36356373448136e-40	2.66664350954478e-39		-0.144810602384508	4.00483842462235e-80	3.26320167932192e-79		0.000464289872880608
RH_ThickAvg_superiortemporal	Superiortemporal (right)	cortical thickness	15317	16961	0.374288562329393	0.182074862063429	2.57411238493572e-126	4.35619018989122e-125		-0.172481921806907	1.46584302854556e-102	2.48065743292326e-101		-0.182074862063429	2.57411238493572e-126	4.35619018989122e-125		0.374288562329393		-0.131774833340296	2.83051895558475e-60	2.83051895558475e-59		-0.122815895756997	5.52456771542682e-58	5.52456771542682e-57		0.413980789129923		-0.163490015051822	3.34648256061352e-92	3.87487454386829e-91		-0.163107178753309	2.01674804765066e-101	2.77302856551966e-100		0.9718537806193
RH_ThickAvg_inferiorparietal	Inferiorparietal (right)	cortical thickness	15317	16961	0.241711631326873	0.177297169411088	8.99741522255033e-120	1.41387953497219e-118		-0.172899048717516	4.69206386906743e-103	8.60211709329029e-102		-0.177297169411088	8.99741522255033e-120	1.41387953497219e-118		0.683997100902793		-0.148515640800215	3.06864598623733e-76	3.75056731651229e-75		-0.135728732747501	1.58071511451479e-70	1.83030171154344e-69		0.241711631326873		-0.173003317672634	3.52777434038365e-103	5.17406903256269e-102		-0.169034144270777	6.85811957268565e-109	1.07770450427917e-107		0.713779837760723
LH_GrayVol_superiortemporal	Superiortemporal (left)	cortical volume	15317	16961	0.0170747329159859	0.174728489972895	2.48797019802734e-116	3.42095902228759e-115		-0.148837970912925	1.4459908627337e-76	1.09695858552212e-75		-0.174728489972895	2.48797019802734e-116	3.42095902228759e-115		0.0170747329159859		-0.0871376957736726	3.35927636620768e-27	1.17308063581855e-26		-0.0915826704015973	6.51635251993824e-33	2.17211750664608e-32		0.687721804442911		-0.126206025619696	2.12564052732292e-55	9.54369216349066e-55		-0.141880208085376	5.87772867791476e-77	4.31033436380416e-76		0.152196237001109
Left.Putamen	Putamen (left)	subcortical volume	15317	16961	4.94139074249667e-05	0.174027862402775	2.11527659327155e-115	3.57969885015185e-114		-0.128472615561676	2.33936439862001e-57	9.02912574905969e-57		-0.156790978361098	9.03152898111491e-94	7.09620134230457e-93		0.0095072208361735		-0.116001626893911	5.04838677396405e-47	3.08512525075581e-46		-0.160370935159825	4.55059777866013e-98	8.34276259421024e-97		4.94139074249667e-05		-0.136957613741128	5.24480086153283e-65	2.95860561419801e-64		-0.174027862402775	2.11527659327155e-115	3.57969885015185e-114		0.000653844031546003
LH_GrayVol_rostralmiddlefrontal	Rostralmiddlefrontal (left)	cortical volume	15317	16961	0.0209702492629358	0.172849132389912	7.5904748656438e-114	9.82296747318609e-113		-0.14856178959996	2.75553463969569e-76	2.02072540244351e-75		-0.172849132389912	7.5904748656438e-114	9.82296747318609e-113		0.0253131035879544		-0.114919998805341	3.53812047284862e-46	2.10374730818026e-45		-0.136074887871553	6.99611335656832e-71	8.5508052135835e-70		0.0538361700219883		-0.141921673082739	1.02493255099478e-69	6.83288367329853e-69		-0.16704049990715	2.39704730275655e-106	3.51566937737627e-105		0.0209702492629358
RH_GrayVol_superiorfrontal	Superiorfrontal (right)	cortical volume	15317	16961	0.0719659413916593	0.172601455311648	1.60533906707525e-113	1.96208108198086e-112		-0.153075788092853	6.24094024397966e-81	5.96959501598054e-80		-0.172601455311648	1.60533906707525e-113	1.96208108198086e-112		0.0719659413916593		-0.110215952789245	1.35764276184525e-42	6.94607924665012e-42		-0.120641962854675	5.34300043277458e-56	4.52100036619388e-55		0.343176050496044		-0.144616814704332	2.40638573769963e-72	1.70775762030296e-71		-0.158729970688004	4.37154661463694e-96	5.34300141788959e-95		0.195023305866159
LH_GrayVol_precentral	Precentral (left)	cortical volume	15317	16961	0.0475878994764198	0.173950828537408	2.62007766945954e-104	5.24015533891908e-103		-0.173950828537408	2.62007766945954e-104	5.24015533891908e-103		-0.158256644902313	1.61631495233294e-95	1.48162203963853e-94		0.147663809474936		-0.106564621960413	6.45709179426312e-40	3.08817433638671e-39		-0.0850939287225487	1.25664804169108e-28	3.6376653838426e-28		0.051899431236057		-0.150691181878351	1.84955321970946e-78	1.50704336420771e-77		-0.129040397709893	7.18606773580557e-64	3.43681500408092e-63		0.0475878994764198
RH_ThickAvg_supramarginal	Supramarginal (right)	cortical thickness	15317	16961	0.0279506101123106	0.173797927285353	3.99001189101895e-104	7.31502180020141e-103		-0.167453731958633	1.07261300965009e-96	1.47484288826887e-95		-0.160544366046213	2.80082246885484e-98	2.93419496737174e-97		0.524163027869617		-0.155190280373733	3.71171929374488e-83	6.28137111249134e-82		-0.131191754152241	5.65923484057262e-66	5.92872221393322e-65		0.0279506101123106		-0.173797927285353	3.99001189101895e-104	7.31502180020141e-103		-0.157457969976092	1.45459769159151e-94	1.68427101131649e-93		0.131768217810977
LH_ThickAvg_precentral	Precentral (left)	cortical thickness	15317	16961	0.000474022276683472	0.173535108357283	8.21386938090468e-104	1.39003943369156e-102		-0.16261286547756	3.1903346828555e-91	3.69407173804321e-90		-0.12797949823799	7.5989803703939e-63	2.83351810421467e-62		0.00150273393119305		-0.158793274291623	5.05404474520502e-87	9.26574869954254e-86		-0.122480180096366	1.1253296851408e-57	1.03155221137907e-56		0.000888594433942735		-0.173535108357283	8.21386938090468e-104	1.39003943369156e-102		-0.135509439257469	2.64626760499624e-70	1.49276634127993e-69		0.000474022276683472
LH_ThickAvg_supramarginal	Supramarginal (left)	cortical thickness	15317	16961	0.00938760250462267	0.173388425555848	1.22839828955821e-103	1.93034016930576e-102		-0.172306892987572	2.3621097835787e-102	3.71188680276653e-101		-0.158492593750063	8.42673212262284e-96	8.0603524651175e-95		0.202629529731081		-0.151024855080013	8.38730129608254e-79	1.15325392821135e-77		-0.122611934821655	8.51373760511053e-58	8.14357510054051e-57		0.00938760250462267		-0.173388425555848	1.22839828955821e-103	1.93034016930576e-102		-0.150992749520625	5.02930766060366e-87	5.02930766060366e-86		0.0390757600827747
Right.Pallidum	Pallidum (right)	subcortical volume	15317	16961	0.000177979881072599	0.164411054422039	4.84976044722328e-103	9.69952089444656e-102		-0.0550315879667715	9.47183833058479e-12	1.28629903254855e-11		-0.0679465891685161	8.2002445156827e-19	1.21895526584473e-18		0.24484610016797		-0.12349784940141	4.17465280395566e-53	2.87007380271952e-52		-0.164411054422039	4.84976044722328e-103	9.69952089444656e-102		0.000177979881072599		-0.101561892812537	2.13839956348362e-36	5.88059879957995e-36		-0.129987490230942	8.60533348555552e-65	4.20705192627159e-64		0.00974470041490072
LH_GrayVol_middletemporal	Middletemporal (left)	cortical volume	15317	16961	0.0250014683327566	0.163470907768729	7.15149391169121e-102	8.28067716090561e-101		-0.139057964114597	5.6029439515376e-67	3.00645773009335e-66		-0.163470907768729	7.15149391169121e-102	8.28067716090561e-101		0.0250014683327566		-0.0787596081090177	1.66804664009322e-22	4.89293681094011e-22		-0.0860888403504864	2.901423363903e-29	8.62585324403595e-29		0.507989041365422		-0.114402683788266	8.91995174565387e-46	3.06623341256852e-45		-0.131013168664777	8.48693201692681e-66	4.24346600846341e-65		0.130313427314666
LH_SurfArea_lateralorbitofrontal	Lateralorbitofrontal (left)	cortical surface area	15317	16961	0.000105345291373959	0.161928257142297	5.71194249416715e-100	6.28313674358387e-99		-0.124950862228699	2.49241783656696e-54	9.13886540074552e-54		-0.161928257142297	5.71194249416715e-100	6.28313674358387e-99		0.000706144683651377		-0.070766872668225	1.83346030571967e-18	4.15836357998276e-18		-0.112508765023696	6.8430707899903e-49	4.42786933469961e-48		0.000158883991403513		-0.104913123876888	9.79444363791223e-39	2.99274666713985e-38		-0.147447603648583	4.96120999730836e-83	4.36586479763136e-82		0.000105345291373959
LH_ThickAvg_rostralmiddlefrontal	Rostralmiddlefrontal (left)	cortical thickness	15317	16961	0.0105329832653032	0.170243804393671	6.29505289524567e-100	8.6556977309628e-99		-0.164481885561895	2.57395608631303e-93	3.33100199405216e-92		-0.155630959538716	2.12119639117559e-92	1.55554402019543e-91		0.415154173588128		-0.149202336990214	6.16426137503907e-77	7.97727942652115e-76		-0.121212015966541	1.62424905628259e-56	1.42933916952868e-55		0.0105329832653032		-0.170243804393671	6.29505289524567e-100	8.6556977309628e-99		-0.149351100356206	3.65862194263184e-85	3.35373678074585e-84		0.0544323329443721
RH_ThickAvg_precentral	Precentral (right)	cortical thickness	15317	16961	0.0677124740767976	0.169712467785422	2.62258965323909e-99	3.39393955125059e-98		-0.160102332199028	1.88822974496626e-88	2.07705271946289e-87		-0.140196488868973	3.61695134038107e-75	1.65776936434132e-74		0.0677124740767976		-0.153999068016238	6.71955473981767e-82	1.05593003054278e-80		-0.136588345606799	2.07995723210252e-71	2.6917093591915e-70		0.110586451659305		-0.169712467785422	2.62258965323909e-99	3.39393955125059e-98		-0.150398632692161	2.38642642348371e-86	2.28266875289746e-85		0.0753760067074354
RH_GrayVol_precentral	Precentral (right)	cortical volume	15317	16961	0.406883489343666	0.159892496503815	1.73105521338151e-97	1.73105521338151e-96		-0.150870076128338	1.21068765503088e-78	9.86486237432569e-78		-0.159892496503815	1.73105521338151e-97	1.73105521338151e-96		0.406883489343666		-0.0926449572357136	1.51900535238554e-30	5.66408775465795e-30		-0.0980522039680998	1.68675409019192e-37	6.8719611081893e-37		0.624480035676458		-0.130762857889746	2.25913179034615e-59	1.15583486947943e-58		-0.138551588539457	1.92708064420682e-73	1.24693453448677e-72		0.476713533644109
LH_GrayVol_lateralorbitofrontal	Lateralorbitofrontal (left)	cortical volume	15317	16961	0.219506188322189	0.157771592872816	6.14673249913061e-95	5.40912459923494e-94		-0.144396760480613	3.96248105021221e-72	2.5639583266079e-71		-0.157771592872816	6.14673249913061e-95	5.40912459923494e-94		0.219506188322189		-0.0965776621519248	4.64982704331014e-33	1.96723451832352e-32		-0.0918593367193055	4.20999972058803e-33	1.42492298235287e-32		0.669342047213715		-0.12954687006304	2.68179617664374e-58	1.31110035302583e-57		-0.133141983481843	6.52808569347947e-68	3.59044713141371e-67		0.742788572401077
RH_GrayVol_parsorbitalis	Parsorbitalis (right)	cortical volume	15317	16961	0.469777598527899	0.157701894941679	7.44473695840813e-95	6.29939281096073e-94		-0.149834527275192	1.39697349928135e-77	1.09762203514963e-76		-0.157701894941679	7.44473695840813e-95	6.29939281096073e-94		0.469777598527899		-0.103329005126138	1.27710156414273e-37	5.97792221513618e-37		-0.0987244250054849	5.3998075942999e-38	2.32932876616858e-37		0.67644738584713		-0.136304554923318	2.12011251317461e-64	1.16606188224604e-63		-0.137511212680819	2.32303011407705e-72	1.46019035741986e-71		0.912162408614401
Left.Pallidum	Pallidum (left)	subcortical volume	15317	16961	0.0895052117417905	0.157762970122907	6.29419501498627e-95	1.0651714640746e-93		-0.0724952059622838	2.66458709954615e-19	4.2173321000011e-19		-0.0694927518851312	1.31291818656407e-19	1.97836987016504e-19		0.786621014154737		-0.139252251968551	3.66859321543887e-67	4.03545253698276e-66		-0.157762970122907	6.29419501498627e-95	1.0651714640746e-93		0.0895052117417905		-0.120708628666095	8.49609280191379e-51	3.39843712076552e-50		-0.127349360625432	3.05509674264336e-62	1.29254092957988e-61		0.54516626962402
RH_ThickAvg_superiorparietal	Superiorparietal (right)	cortical thickness	15317	16961	0.267777366772741	0.157411122384664	1.65408270712348e-94	1.81949097783583e-93		-0.144032719598839	9.0270615893998e-72	5.6741529990513e-71		-0.156108054823452	5.80864813046662e-93	4.40656065069882e-92		0.267777366772741		-0.129858244326007	1.4264865722161e-58	1.30761269119809e-57		-0.132577276563963	2.39315178028491e-67	2.6324669583134e-66		0.803990977303584		-0.148873140896282	1.33188073280258e-76	1.0464777186306e-75		-0.157411122384664	1.65408270712348e-94	1.81949097783583e-93		0.432862738764895
LH_ThickAvg_superiortemporal	Superiortemporal (left)	cortical thickness	15317	16961	0.0570136260648673	0.157507514697617	2.55963417448217e-94	2.08562784587436e-93		-0.157507514697617	1.24129918315648e-85	1.24129918315648e-84		-0.157251855766836	2.55963417448217e-94	2.08562784587436e-93		0.981238311521997		-0.124224641223682	1.02379034580999e-53	7.26560890574832e-53		-0.10328381566857	1.93741410967195e-41	1.03958805884836e-40		0.0570136260648673		-0.151294901689554	4.41660437029949e-79	4.04855400610787e-78		-0.13930570685129	3.13299610751634e-74	2.08866407167756e-73		0.271896252051292
Right.Putamen	Putamen (right)	subcortical volume	15317	16961	5.06717305241988e-05	0.155491432495595	3.0956106387095e-92	3.24302066912424e-91		-0.115020215398641	2.95639016292121e-46	9.0334143867037e-46		-0.141747828240823	8.14100587674938e-77	3.98004731752192e-76		0.0147708135406657		-0.0987209748669825	1.79073825754775e-34	7.8792483332101e-34		-0.14322765472068	2.09638580663716e-78	2.88253048412609e-77		5.06717305241988e-05		-0.11983120501805	4.40876275407649e-50	1.70162772964356e-49		-0.155491432495595	3.0956106387095e-92	3.24302066912424e-91		0.0011098567073049
LH_ThickAvg_inferiorparietal	Inferiorparietal (left)	cortical thickness	15317	16961	0.551404747323605	0.154716433121043	2.51072706813353e-91	1.78180630641734e-90		-0.151407540206823	3.37875582732323e-79	2.97330512804444e-78		-0.154716433121043	2.51072706813353e-91	1.78180630641734e-90		0.76116842361416		-0.111895148360804	7.42781261573549e-44	3.98565554990685e-43		-0.105333368536409	4.86799086412479e-43	2.74604612848065e-42		0.551404747323605		-0.140628889172225	1.79368814153485e-68	1.1606217386402e-67		-0.13950223576987	1.9481801553271e-74	1.33937385678738e-73		0.917892036809252
LH_GrayVol_precuneus	Precuneus (left)	cortical volume	15317	16961	0.235765537506591	0.151786411592623	6.22024475165621e-88	4.27641826676364e-87		-0.147913105830518	1.24688954757375e-75	8.84889356342661e-75		-0.151786411592623	6.22024475165621e-88	4.27641826676364e-87		0.722261210755757		-0.0926604733278398	1.48540933405489e-30	5.63431126710476e-30		-0.105747212210491	2.29321880018695e-43	1.32765298958192e-42		0.235765537506591		-0.127157821553416	3.23195600957141e-56	1.54571809153415e-55		-0.136076910751441	6.96282370392201e-71	4.03110846016537e-70		0.41552983931583
LH_ThickAvg_precuneus	Precuneus (left)	cortical thickness	15317	16961	0.0206155114994739	0.159377528852307	6.56483649929449e-88	4.37655766619633e-87		-0.159377528852307	1.16950088406816e-87	1.22519140235712e-86		-0.151765991405307	6.56483649929449e-88	4.37655766619633e-87		0.484092632732185		-0.128520792897015	2.12365257899534e-57	1.79693679761144e-56		-0.103062098580375	2.87335093340806e-41	1.50508858416613e-40		0.0206155114994739		-0.153868212017746	9.22339965682254e-82	8.82238228043895e-81		-0.136609163052943	1.97994322934396e-71	1.17726354177208e-70		0.113732598891064
RH_GrayVol_middletemporal	Middletemporal (right)	cortical volume	15317	16961	0.500398870671183	0.150853048164332	7.25721078429141e-87	4.69584227218856e-86		-0.143503859004653	2.97408681209902e-71	1.81749749628273e-70		-0.150853048164332	7.25721078429141e-87	4.69584227218856e-86		0.500398870671183		-0.0762226480356397	3.5578012661621e-21	9.43031660910436e-21		-0.078121060112847	2.25787588845364e-24	5.91348446975953e-24		0.863973574441443		-0.115125412607176	2.44793254600041e-46	8.82860918229656e-46		-0.119985624201948	2.0898201826201e-55	7.66267400294037e-55		0.658418483223646
RH_GrayVol_rostralmiddlefrontal	Rostralmiddlefrontal (right)	cortical volume	15317	16961	0.197989858129331	0.150818126345478	7.95347867290723e-87	4.93106867234705e-86		-0.136764789632262	7.92785058895145e-65	3.8758380657096e-64		-0.150818126345478	7.95347867290723e-87	4.93106867234705e-86		0.197989858129331		-0.114841094001388	4.07516539192594e-46	2.35930627953607e-45		-0.119587654791285	4.76053804338027e-55	3.87895692423578e-54		0.6659415476189		-0.137023970960672	4.54906418069738e-65	2.63366873619322e-64		-0.145195049025504	1.52112900024685e-80	1.28710915405503e-79		0.454528715496014
RH_GrayVol_parstriangularis	Parstriangularis (right)	cortical volume	15317	16961	0.266522561519473	0.150812627816922	8.06902146384063e-87	4.93106867234705e-86		-0.1386861449386	1.25790629931427e-66	6.58903299640808e-66		-0.150812627816922	8.06902146384063e-87	4.93106867234705e-86		0.266522561519473		-0.0951460047078773	3.93388643658719e-32	1.57355457463488e-31		-0.102890030122709	3.89914868630466e-41	1.99491328136517e-40		0.482951582102726		-0.126939400046758	4.98592084010093e-56	2.33383528685575e-55		-0.136765532114175	1.36706055105709e-71	8.35425892312666e-71		0.369686623681198
RH_ThickAvg_precuneus	Precuneus (right)	cortical thickness	15317	16961	0.119721684680308	0.151643372739164	5.60261206831565e-86	3.33128285143093e-85		-0.151643372739164	1.92708046318656e-79	1.76649042458768e-78		-0.150071962184454	5.60261206831565e-86	3.33128285143093e-85		0.885305542532867		-0.12939780752039	3.62604232949136e-58	3.1909172499524e-57		-0.112306557722148	1.01280522475757e-48	6.36620426990472e-48		0.119721684680308		-0.15076603987408	1.54912145671773e-78	1.31079507876116e-77		-0.141529108052086	1.39352646939275e-76	9.88954268601307e-76		0.397165674701764
RH_GrayVol_fusiform	Fusiform (right)	cortical volume	15317	16961	0.125739017315738	0.149632060880614	1.76270693703633e-85	1.02051454249472e-84		-0.140594321725888	1.93563354925388e-68	1.15091724550231e-67		-0.149632060880614	1.76270693703633e-85	1.02051454249472e-84		0.407568561159566		-0.100663916533674	8.78714440050609e-36	3.94524850634967e-35		-0.117528687943608	3.22204725851284e-53	2.53160856026009e-52		0.125739017315738		-0.130373393917653	5.00271844259165e-59	2.50135922129583e-58		-0.144113956330442	2.29863554423855e-79	1.80607078475886e-78		0.209011768889345
LH_ThickAvg_superiorparietal	Superiorparietal (left)	cortical thickness	15317	16961	0.305628388405855	0.148706635721126	1.94277338444218e-84	1.09592344763405e-83		-0.137520639775156	1.56433732645948e-65	7.8216866322974e-65		-0.148706635721126	1.94277338444218e-84	1.09592344763405e-83		0.305628388405855		-0.117839650218171	1.76882058672463e-48	1.14453096788064e-47		-0.115399797031178	2.32645566603884e-51	1.65103305331789e-50		0.824402737864911		-0.138306271132574	2.86738645432284e-66	1.75229172208618e-65		-0.143671497125463	6.942068004063e-79	5.26639641687538e-78		0.623389522348904
LH_ThickAvg_paracentral	Paracentral (left)	cortical thickness	15317	16961	0.000622864164590675	0.156512047118646	1.45250157413901e-84	1.52166831576468e-83		-0.135247112528277	2.00578930817255e-63	9.19320099579085e-63		-0.127908694431624	8.88802280563815e-63	3.23797695721625e-62		0.502923536420242		-0.152976948349802	7.91603840353155e-81	1.16101896585129e-79		-0.115528142697317	1.80146950430873e-51	1.32107763649307e-50		0.000622864164590675		-0.156512047118646	1.45250157413901e-84	1.52166831576468e-83		-0.131109674958603	6.81829831519144e-66	3.48843169614446e-65		0.0199656872077587
