trait_description	custom_category	top_rgAbs	top_p	top_FDR	NA	gap_gm_rg	gap_gm_se	gap_gm_z	gap_gm_p	gap_gm_FDR	NA.1	gap_wm_rg	gap_wm_se	gap_wm_z	gap_wm_p	gap_wm_FDR	NA.2	gap_gwm_rg	gap_gwm_se	gap_gwm_z	gap_gwm_p	gap_gwm_FDR	NA.3	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se	category	showcase
Neutrophill count	Biological samples	0.1244	6.3836e-06	0.000573943672727273		0.1244	0.0276	4.5133	6.3836e-06	0.000573943672727273		0.1009	0.0275	3.666	2e-04	0.03956		0.1175	0.0268	4.3753	1.2129e-05	0.003492159		0.1589	0.0169	1.1233	0.0367	0.0013	0.0072	Blood count - Blood assays - Biological samples	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30140
Vascular/heart problems diagnosed by doctor: None of the above	Medical history and conditions	0.1283	7.5115e-06	0.000608166530769231		-0.1283	0.0286	-4.4787	7.5115e-06	0.000608166530769231		-0.0638	0.0342	-1.8633	0.0624	0.368520238095238		-0.0965	0.0317	-3.0392	0.0024	0.04945		0.1204	0.0049	1.0697	0.0178	-0.0329	0.0064	Medical conditions - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6150
Fractured bone site(s): Other bones	Medical history and conditions	0.3175	7.9941e-06	0.000608166530769231		0.3175	0.0711	4.4653	7.9941e-06	0.000608166530769231		0.1304	0.061	2.1371	0.0326	0.323166197183099		0.2278	0.0632	3.6066	3e-04	0.014835		0.0085	0.0016	1.0023	0.0069	-0.0117	0.0054	Medical conditions - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6151
Forced expiratory volume in 1-second (FEV1), Best measure	Physical measures	0.128	1.0152e-05	0.000688673666666667		-0.128	0.029	-4.4139	1.0152e-05	0.000688673666666667		-0.0681	0.0335	-2.034	0.042	0.323166197183099		-0.1005	0.0311	-3.2282	0.0012	0.0320756756756757		0.2099	0.0087	1.072	0.0167	-0.0113	0.0068	Spirometry - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20150
White blood cell (leukocyte) count	Biological samples	0.1212	1.0445e-05	0.000688673666666667		0.1212	0.0275	4.4078	1.0445e-05	0.000688673666666667		0.093	0.0259	3.5896	3e-04	0.0423857142857143		0.1112	0.026	4.2719	1.9384e-05	0.003492159		0.1811	0.0141	1.1374	0.0338	0.0027	0.0076	Blood count - Blood assays - Biological samples	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30000
Heel Broadband ultrasound attenuation, direct entry	Physical measures	0.1337	1.2185e-05	0.0007531853125		-0.1242	0.0284	-4.3743	1.2185e-05	0.0007531853125		-0.1259	0.0392	-3.2073	0.0013	0.0923066666666667		-0.1337	0.0344	-3.8877	1e-04	0.00824166666666667		0.2753	0.0312	1.0676	0.0349	-0.0079	0.0076	Bone-densitometry of heel - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=3144
Mean time to correctly identify matches	Cognitive function	0.1209	4.3249e-06	0.00213866305		0.0686	0.0258	2.6578	0.0079	0.0583067164179105		0.1209	0.0263	4.5951	4.3249e-06	0.00213866305		0.1047	0.0253	4.137	3.5186e-05	0.00434986925		0.0826	0.0031	1.026	0.0101	0.0212	0.0056	Reaction time - Cognitive function - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20023
Non-cancer illness code, self-reported: hypertension	Medical history and conditions	0.1235	4.1641e-05	0.00242252641176471		0.1235	0.0301	4.0982	4.1641e-05	0.00242252641176471		0.0709	0.036	1.968	0.0491	0.326173509933775		0.099	0.0335	2.9552	0.0031	0.062569387755102		0.1193	0.005	1.0677	0.0187	0.03	0.0066	Medical conditions - Verbal interview - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20002
Vascular/heart problems diagnosed by doctor: High blood pressure	Medical history and conditions	0.1217	5.2604e-05	0.00285873052631579		0.1217	0.0301	4.0437	5.2604e-05	0.00285873052631579		0.0629	0.036	1.7442	0.0811	0.391258048780488		0.0928	0.0335	2.7719	0.0056	0.0852061538461538		0.1209	0.0051	1.0714	0.0188	0.0322	0.0066	Medical conditions - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6150
Medication for cholesterol, blood pressure or diabetes: Blood pressure medication	Medications	0.1382	5.492e-05	0.00285873052631579		0.1382	0.0343	4.0336	5.492e-05	0.00285873052631579		0.0852	0.0406	2.0948	0.0362	0.323166197183099		0.1167	0.0376	3.1039	0.0019	0.0417577777777778		0.1135	0.0056	1.0409	0.0103	0.0245	0.0061	Medication - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6177
Heel bone mineral density (BMD) (right)	Physical measures	0.1299	5.7935e-05	0.00286488575		-0.1276	0.0317	-4.0211	5.7935e-05	0.00286488575		-0.1177	0.0378	-3.114	0.0018	0.104717647058824		-0.1299	0.0345	-3.7705	2e-04	0.0116352941176471		0.3105	0.037	1.0303	0.0234	-0.0047	0.0062	Bone-densitometry of heel - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=4124
Diastolic blood pressure, automated reading	Physical measures	0.1233	6.6689e-05	0.00303025104545455		0.1233	0.0309	3.9878	6.6689e-05	0.00303025104545455		0.0613	0.0343	1.7862	0.0741	0.388972680412371		0.0937	0.033	2.8379	0.0045	0.0767327586206897		0.1351	0.0057	1.0657	0.0163	0.0306	0.0069	Blood pressure - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=4079
Recent restlessness	Mental health	0.2168	6.7407e-05	0.00303025104545455		0.2168	0.0544	3.9853	6.7407e-05	0.00303025104545455		0.1599	0.0512	3.1241	0.0018	0.104717647058824		0.1963	0.0505	3.8889	1e-04	0.00824166666666667		0.0337	0.0045	0.9986	0.0073	-0.0063	0.0048	Anxiety - Mental health - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20516
Heel quantitative ultrasound index (QUI), direct entry (right)	Physical measures	0.1275	9.2747e-05	0.00329666666666667		-0.1246	0.0319	-3.9088	9.2747e-05	0.00329666666666667		-0.1161	0.0379	-3.0592	0.0022	0.1075		-0.1275	0.0346	-3.6823	2e-04	0.0116352941176471		0.3084	0.0367	1.0316	0.0232	-0.0054	0.0062	Bone-densitometry of heel - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=4123
Heel bone mineral density (BMD) T-score, automated (right)	Physical measures	0.1275	9.278e-05	0.00329666666666667		-0.1246	0.0319	-3.9087	9.278e-05	0.00329666666666667		-0.1161	0.0379	-3.0593	0.0022	0.1075		-0.1275	0.0346	-3.6823	2e-04	0.0116352941176471		0.3084	0.0367	1.0316	0.0232	-0.0054	0.0062	Bone-densitometry of heel - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=4125
Standing height	Physical measures	0.0958	9.3049e-05	0.00329666666666667		-0.0958	0.0249	-3.8512	1e-04	0.00329666666666667		-0.0707	0.0216	-3.276	0.0011	0.0906583333333333		-0.087	0.0223	-3.908	9.3049e-05	0.00824166666666667		0.4684	0.0235	1.2616	0.0663	-0.0219	0.0088	Body size measures - Anthropometry - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=50
Leisure/social activities: Sports club or gym	Mental health	0.1477	1e-04	0.00329666666666667		-0.1477	0.0388	-3.8101	1e-04	0.00329666666666667		-0.0834	0.038	-2.193	0.0283	0.321709195402299		-0.1182	0.0383	-3.0891	0.002	0.043		0.0358	0.002	1.0115	0.0079	0.0178	0.0054	Social support - Psychosocial factors - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6160
Frequency of depressed mood in last 2 weeks	Mental health	0.139	1e-04	0.00329666666666667		0.139	0.0366	3.802	1e-04	0.00329666666666667		0.1035	0.0407	2.543	0.011	0.205264150943396		0.1281	0.0379	3.3745	7e-04	0.0230766666666667		0.0423	0.0027	1.002	0.0087	-0.0026	0.0059	Mental health - Psychosocial factors - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2050
Heel broadband ultrasound attenuation (right)	Physical measures	0.1362	1e-04	0.00329666666666667		-0.1288	0.0335	-3.8408	1e-04	0.00329666666666667		-0.128	0.0418	-3.0591	0.0022	0.1075		-0.1362	0.0374	-3.641	3e-04	0.014835		0.2767	0.0329	1.0252	0.0221	-0.004	0.0063	Bone-densitometry of heel - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=4120
Frequency of tiredness / lethargy in last 2 weeks	Mental health	0.1215	1e-04	0.00329666666666667		0.1215	0.0317	3.8299	1e-04	0.00329666666666667		0.0633	0.0293	2.1619	0.0306	0.323166197183099		0.0954	0.0296	3.2283	0.0012	0.0320756756756757		0.0589	0.0028	1.0163	0.0098	7e-04	0.006	Mental health - Psychosocial factors - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2080
Forced expiratory volume in 1-second (FEV1)	Physical measures	0.1129	1e-04	0.00329666666666667		-0.1129	0.0292	-3.8671	1e-04	0.00329666666666667		-0.0626	0.0331	-1.8928	0.0584	0.354947852760736		-0.0902	0.0312	-2.8915	0.0038	0.0695962962962963		0.1883	0.0075	1.0744	0.0168	-0.0185	0.007	Spirometry - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=3063
Duration to first press of snap-button in each round	Cognitive function	0.1135	1.5515e-05	0.00511477833333333		0.058	0.0265	2.1917	0.0284	0.131110550458716		0.1135	0.0263	4.3212	1.5515e-05	0.00511477833333333		0.0952	0.0256	3.7222	2e-04	0.0116352941176471		0.085	0.003	1.0175	0.0095	0.0226	0.0056	Reaction time - Cognitive function - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=404
Cereal type: Other (e.g. Cornflakes, Frosties)	Lifestyle and environment	0.1539	2e-04	0.00534594594594595		0.1539	0.0414	3.7204	2e-04	0.00534594594594595		0.1175	0.0397	2.9603	0.0031	0.113551851851852		0.1418	0.0401	3.5347	4e-04	0.015824		0.0364	0.0023	1.0138	0.0081	-0.0074	0.0055	Diet - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1468
Non-cancer illness code, self-reported: high cholesterol	Medical history and conditions	0.1538	2e-04	0.00534594594594595		0.1538	0.0415	3.7065	2e-04	0.00534594594594595		0.0835	0.0378	2.2092	0.0272	0.31625		0.1214	0.0391	3.1019	0.0019	0.0417577777777778		0.0425	0.0058	1.0625	0.0313	0.009	0.0062	Medical conditions - Verbal interview - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20002
Falls in the last year	Medical history and conditions	0.138	2e-04	0.00534594594594595		0.138	0.0375	3.6781	2e-04	0.00534594594594595		0.0357	0.0361	0.9883	0.323	0.717858426966292		0.0824	0.0366	2.2481	0.0246	0.181562686567164		0.0331	0.002	1.0021	0.0075	-0.0049	0.0053	General health - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2296
Heel bone mineral density (BMD) (left)	Physical measures	0.123	2e-04	0.00534594594594595		-0.1189	0.0316	-3.7579	2e-04	0.00534594594594595		-0.1144	0.0381	-3.0012	0.0027	0.110311538461538		-0.123	0.0346	-3.5565	4e-04	0.015824		0.3086	0.0364	1.0342	0.0228	-0.004	0.006	Bone-densitometry of heel - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=4105
Heel quantitative ultrasound index (QUI), direct entry (left)	Physical measures	0.1225	2e-04	0.00534594594594595		-0.117	0.0317	-3.6964	2e-04	0.00534594594594595		-0.1149	0.038	-3.0239	0.0025	0.1075		-0.1225	0.0346	-3.5443	4e-04	0.015824		0.3058	0.0362	1.0348	0.0226	-0.0037	0.006	Bone-densitometry of heel - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=4104
Heel bone mineral density (BMD) T-score, automated (left)	Physical measures	0.1225	2e-04	0.00534594594594595		-0.117	0.0317	-3.6964	2e-04	0.00534594594594595		-0.115	0.038	-3.0242	0.0025	0.1075		-0.1225	0.0346	-3.5445	4e-04	0.015824		0.3058	0.0362	1.0348	0.0226	-0.0037	0.006	Bone-densitometry of heel - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=4106
Age first had sexual intercourse	Lifestyle and environment	0.1036	2e-04	0.00534594594594595		-0.1036	0.0278	-3.7295	2e-04	0.00534594594594595		-0.0351	0.0331	-1.0607	0.2888	0.691581598062954		-0.0701	0.0305	-2.2992	0.0215	0.171479838709677		0.1582	0.0053	1.0304	0.014	-0.004	0.007	Sexual factors - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2139
Cough on most days	Work environment	0.214	3e-04	0.00674318181818182		0.214	0.0598	3.5762	3e-04	0.00674318181818182		0.1894	0.0637	2.9758	0.0029	0.110311538461538		0.213	0.0601	3.5436	4e-04	0.015824		0.0458	0.0058	0.9982	0.0067	-0.0078	0.0046	Medical information - Work environment - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=22502
Attendance/disability/mobility allowance: None of the above	Sociodemographics	0.1607	3e-04	0.00674318181818182		-0.1607	0.0443	-3.6244	3e-04	0.00674318181818182		-0.1104	0.0554	-1.9913	0.0464	0.323166197183099		-0.1411	0.0505	-2.7953	0.0052	0.08035625		0.0335	0.002	1.003	0.0081	-0.0011	0.0057	Other sociodemographic factors - Sociodemographics - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6146
Medication for cholesterol, blood pressure or diabetes: Cholesterol lowering medication	Medications	0.1524	3e-04	0.00674318181818182		0.1524	0.0423	3.6062	3e-04	0.00674318181818182		0.1158	0.0396	2.9196	0.0035	0.123625		0.1407	0.0403	3.4937	5e-04	0.0176607142857143		0.0753	0.0073	1.0378	0.0166	0.0163	0.0058	Medication - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6177
Heel broadband ultrasound attenuation (left)	Physical measures	0.1306	3e-04	0.00674318181818182		-0.1196	0.0333	-3.5961	3e-04	0.00674318181818182		-0.1272	0.0425	-2.9894	0.0028	0.110311538461538		-0.1306	0.0377	-3.4624	5e-04	0.0176607142857143		0.2768	0.0333	1.0281	0.0225	-0.0019	0.0061	Bone-densitometry of heel - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=4101
Variation in diet	Lifestyle and environment	0.1294	3e-04	0.00674318181818182		0.1294	0.0359	3.6047	3e-04	0.00674318181818182		0.0437	0.0324	1.3493	0.1773	0.552165830721003		0.0829	0.033	2.5094	0.0121	0.1359875		0.043	0.0024	1.0067	0.0089	0.0015	0.0059	Diet - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1548
Wheeze or whistling in the chest in last year	Medical history and conditions	0.1281	3e-04	0.00674318181818182		0.1281	0.035	3.6585	3e-04	0.00674318181818182		0.0317	0.0366	0.8666	0.3862	0.760527236580517		0.0775	0.0351	2.2047	0.0275	0.188871527777778		0.0611	0.003	1.0204	0.0102	0.0033	0.0059	Breathing - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2316
Forced vital capacity (FVC), Best measure	Physical measures	0.109	3e-04	0.00674318181818182		-0.109	0.0299	-3.641	3e-04	0.00674318181818182		-0.0586	0.0313	-1.8729	0.0611	0.366229696969697		-0.0854	0.0304	-2.8063	0.005	0.079758064516129		0.2344	0.0102	1.0968	0.0202	-0.0149	0.0073	Spirometry - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20151
Number of full sisters	Family history and early life factors	0.1803	4e-04	0.00824166666666667		0.1803	0.0507	3.5587	4e-04	0.00824166666666667		0.0365	0.0526	0.6936	0.4879	0.808263149078727		0.1045	0.0509	2.0544	0.0399	0.21102192513369		0.0162	0.0016	1.0134	0.0064	-0.0162	0.0053	Family history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1883
Current employment status: Unable to work because of sickness or disability	Sociodemographics	0.1708	4e-04	0.00824166666666667		0.1708	0.048	3.5604	4e-04	0.00824166666666667		0.0833	0.0448	1.8588	0.0631	0.369265680473373		0.1268	0.0452	2.8058	0.005	0.079758064516129		0.0242	0.0017	1.0077	0.0069	0.0034	0.0055	Employment - Sociodemographics - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6142
Types of physical activity in last 4 weeks: Other exercises (eg: swimming, cycling, keep fit, bowling)	Lifestyle and environment	0.1217	4e-04	0.00824166666666667		-0.1217	0.0343	-3.5488	4e-04	0.00824166666666667		-0.0508	0.0352	-1.4405	0.1497	0.530527857142857		-0.0883	0.0338	-2.6109	0.009	0.109888888888889		0.0474	0.0024	1.0116	0.0089	0.0107	0.0053	Physical activity - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6164
Qualifications: None of the above	Sociodemographics	0.1022	4e-04	0.00824166666666667		0.1022	0.0286	3.5683	4e-04	0.00824166666666667		0.0692	0.026	2.6657	0.0077	0.203505769230769		0.089	0.0265	3.3591	8e-04	0.0239757575757576		0.1051	0.0037	1.05	0.0126	-0.0131	0.0064	Education - Sociodemographics - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6138
Attendance/disability/mobility allowance: Blue badge	Sociodemographics	0.1637	5e-04	0.00933018867924528		0.1637	0.0469	3.4905	5e-04	0.00933018867924528		0.1173	0.0581	2.0192	0.0435	0.323166197183099		0.1468	0.0532	2.7581	0.0058	0.0856149253731343		0.0232	0.0017	1.0075	0.0071	0.002	0.0054	Other sociodemographic factors - Sociodemographics - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6146
Father's age at death	Family history and early life factors	0.1582	5e-04	0.00933018867924528		-0.1582	0.0455	-3.478	5e-04	0.00933018867924528		-0.0639	0.0578	-1.1067	0.2684	0.673724873096447		-0.1117	0.0516	-2.1655	0.0303	0.196507189542484		0.0308	0.0029	1.0097	0.0082	-0.0055	0.0051	Family history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1807
Types of physical activity in last 4 weeks: Strenuous sports	Lifestyle and environment	0.1495	5e-04	0.00933018867924528		-0.1495	0.0427	-3.502	5e-04	0.00933018867924528		-0.0876	0.0368	-2.3804	0.0173	0.240381944444444		-0.1213	0.0371	-3.2707	0.0011	0.0310828571428571		0.0241	0.0017	1.0131	0.007	0.0066	0.0053	Physical activity - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6164
Forced expiratory volume in 1-second (FEV1), predicted	Physical measures	0.1022	5e-04	0.00933018867924528		-0.1022	0.0295	-3.4712	5e-04	0.00933018867924528		-0.0735	0.0294	-2.502	0.0124	0.222974545454545		-0.0916	0.0288	-3.1775	0.0015	0.0370875		0.4311	0.0249	1.086	0.0247	-0.0087	0.0066	Spirometry - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20153
Gamma glutamyltransferase (U/L)	Biological samples	0.0901	5e-04	0.00933018867924528		0.0901	0.026	3.4627	5e-04	0.00933018867924528		0.021	0.0297	0.7061	0.4801	0.803061317567568		0.0558	0.0279	1.9986	0.0456	0.226625125628141		0.1965	0.0227	1.1997	0.0828	0.0039	0.0077	Blood biochemistry - Blood assays - Biological samples	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30730
Other pulmonary diagnosis	Medical history and conditions	0.1848	6e-04	0.0105964285714286		0.1848	0.0539	3.4315	6e-04	0.0105964285714286		0.0494	0.0633	0.7799	0.4354	0.788487934186472		0.1174	0.0586	2.0027	0.0452	0.226271212121212		0.0131	0.0016	1.0061	0.0073	0.0039	0.0054	NA	NA
Long-standing illness, disability or infirmity	Medical history and conditions	0.112	6e-04	0.0105964285714286		0.112	0.0327	3.4296	6e-04	0.0105964285714286		0.0614	0.0332	1.8496	0.0644	0.371573446327684		0.0888	0.0329	2.6974	0.007	0.0961527777777778		0.0521	0.0023	1.022	0.0089	0.0166	0.0056	General health - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2188
Age completed full time education	Sociodemographics	0.1092	6e-04	0.0105964285714286		-0.1092	0.0318	-3.4362	6e-04	0.0105964285714286		-0.0707	0.0287	-2.4645	0.0137	0.229118333333333		-0.0934	0.0293	-3.1869	0.0014	0.0355025641025641		0.1051	0.0045	1.0397	0.0101	0.0113	0.0055	Education - Sociodemographics - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=845
Frequency of unenthusiasm / disinterest in last 2 weeks	Mental health	0.1291	7e-04	0.0121456140350877		0.1291	0.0381	3.3869	7e-04	0.0121456140350877		0.0822	0.0386	2.1277	0.0334	0.323166197183099		0.1112	0.038	2.9293	0.0034	0.067252		0.0383	0.0025	1.0107	0.0089	0.0033	0.0057	Mental health - Psychosocial factors - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2060
Job involves mainly walking or standing	Sociodemographics	0.1178	8e-04	0.0136413793103448		0.1178	0.0353	3.3405	8e-04	0.0136413793103448		0.0575	0.0332	1.7318	0.0833	0.397988888888889		0.089	0.0331	2.6875	0.0072	0.0975452054794521		0.0771	0.0043	1.0197	0.0096	-0.0073	0.0061	Employment - Sociodemographics - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=806
Types of transport used (excluding work): Public transport	Lifestyle and environment	0.146	9e-04	0.0150864406779661		0.146	0.0439	3.326	9e-04	0.0150864406779661		0.0917	0.0478	1.9178	0.0551	0.340586875		0.1212	0.0443	2.7355	0.0062	0.0875971428571428		0.0237	0.0017	1.0101	0.007	-0.0059	0.0054	Physical activity - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6162
